Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-10-07 16:00,Close entry(s) order MACD_Long,4658.19,2.0513,10001.33879,-445.99,-4.46,74.44,0.74,-515.39,-5.15,-445.99,-4.46
1,Entry long,2025-10-06 20:00,MACD_Long,4875.61,2.0513,10001.33879,-445.99,-4.46,74.44,0.74,-515.39,-5.15,-445.99,-4.46
2,Exit long,2025-10-15 20:00,Close entry(s) order MACD_Long,4094.83,2.291,9572.41657,-191.16,-2.00,545.24,5.70,-408.42,-4.27,-637.15,-6.37
2,Entry long,2025-10-12 16:00,MACD_Long,4178.27,2.291,9572.41657,-191.16,-2.00,545.24,5.70,-408.42,-4.27,-637.15,-6.37
3,Exit long,2025-10-21 08:00,Close entry(s) order MACD_Long,3989.01,2.3512,9361.044168,17.92,0.19,486.42,5.20,-142.01,-1.52,-619.24,-6.19
3,Entry long,2025-10-18 12:00,MACD_Long,3981.39,2.3512,9361.044168,17.92,0.19,486.42,5.20,-142.01,-1.52,-619.24,-6.19
4,Exit long,2025-10-22 00:00,Close entry(s) order MACD_Long,3966.51,2.2407,9382.864029,-495.11,-5.28,64.13,0.68,-525.98,-5.61,-1114.34,-11.14
4,Entry long,2025-10-21 16:00,MACD_Long,4187.47,2.2407,9382.864029,-495.11,-5.28,64.13,0.68,-525.98,-5.61,-1114.34,-11.14
5,Exit long,2025-10-28 12:00,Close entry(s) order MACD_Long,4206.75,2.25,8892.5175,572.67,6.44,908.84,10.22,-26.03,-0.29,-541.67,-5.42
5,Entry long,2025-10-24 00:00,MACD_Long,3952.23,2.25,8892.5175,572.67,6.44,908.84,10.22,-26.03,-0.29,-541.67,-5.42
6,Exit long,2025-11-03 04:00,Close entry(s) order MACD_Long,3807.03,2.4065,9458.387275,-296.77,-3.14,162.2,1.71,-308.73,-3.26,-838.44,-8.38
6,Entry long,2025-11-01 00:00,MACD_Long,3930.35,2.4065,9458.387275,-296.77,-3.14,162.2,1.71,-308.73,-3.26,-838.44,-8.38
7,Exit long,2025-11-11 20:00,Close entry(s) order MACD_Long,3500.82,2.6303,9156.495148,51.71,0.56,597.97,6.53,-620.83,-6.78,-786.73,-7.87
7,Entry long,2025-11-06 00:00,MACD_Long,3481.16,2.6303,9156.495148,51.71,0.56,597.97,6.53,-620.83,-6.78,-786.73,-7.87
8,Exit long,2025-11-17 20:00,Close entry(s) order MACD_Long,3013.23,2.8455,9215.03793,-640.89,-6.95,127.34,1.38,-665.65,-7.22,-1427.62,-14.28
8,Entry long,2025-11-16 04:00,MACD_Long,3238.46,2.8455,9215.03793,-640.89,-6.95,127.34,1.38,-665.65,-7.22,-1427.62,-14.28
9,Exit long,2025-11-19 20:00,Close entry(s) order MACD_Long,2917.23,2.7228,8567.943672,-624.91,-7.29,174.01,2.03,-647.78,-7.56,-2052.53,-20.53
9,Entry long,2025-11-18 16:00,MACD_Long,3146.74,2.7228,8567.943672,-624.91,-7.29,174.01,2.03,-647.78,-7.56,-2052.53,-20.53
10,Exit long,2025-11-20 20:00,Close entry(s) order MACD_Long,2882.59,2.5827,7951.048566,-506.18,-6.37,55.32,0.70,-667.52,-8.40,-2558.72,-25.59
10,Entry long,2025-11-20 04:00,MACD_Long,3078.58,2.5827,7951.048566,-506.18,-6.37,55.32,0.70,-667.52,-8.40,-2558.72,-25.59
11,Exit long,2025-11-29 00:00,Close entry(s) order MACD_Long,3076.09,2.671,7446.80142,769.44,10.33,959.05,12.88,-49.84,-0.67,-1789.28,-17.89
11,Entry long,2025-11-22 20:00,MACD_Long,2788.02,2.671,7446.80142,769.44,10.33,959.05,12.88,-49.84,-0.67,-1789.28,-17.89
12,Exit long,2025-12-05 16:00,Close entry(s) order MACD_Long,3145.39,2.6905,8203.307595,259.36,3.16,631.89,7.70,-91.18,-1.11,-1529.92,-15.30
