Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-10-02 16:00,TP/SL,125193.1,1,123131.2,-2061.9,-1.67,181.2,0.15,-2061.9,-1.67,-2061.9,-0.21
1,Entry short,2025-10-02 08:00,SELL,123131.2,1,123131.2,-2061.9,-1.67,181.2,0.15,-2061.9,-1.67,-2061.9,-0.21
2,Exit short,2025-10-05 04:00,TP/SL,129441.3,1,127038.6,-2402.7,-1.89,870.3,0.69,-2402.7,-1.89,-4464.6,-0.45
2,Entry short,2025-10-04 00:00,SELL,127038.6,1,127038.6,-2402.7,-1.89,870.3,0.69,-2402.7,-1.89,-4464.6,-0.45
3,Exit long,2025-10-07 16:00,TP/SL,125775,1,128323.2,-2548.2,-1.99,2816.1,2.19,-2548.2,-1.99,-7012.8,-0.70
3,Entry long,2025-10-06 00:00,BUY,128323.2,1,128323.2,-2548.2,-1.99,2816.1,2.19,-2548.2,-1.99,-7012.8,-0.70
4,Exit short,2025-10-10 20:00,TP/SL,119602.2,1,125686.3,6084.1,4.84,6084.1,4.84,-1227.8,-0.98,-928.7,-0.09
4,Entry short,2025-10-09 16:00,SELL,125686.3,1,125686.3,6084.1,4.84,6084.1,4.84,-1227.8,-0.98,-928.7,-0.09
5,Exit short,2025-10-17 04:00,TP/SL,107872.6,1,116186,8313.4,7.16,8313.4,7.16,-1047.8,-0.90,7384.7,0.74
5,Entry short,2025-10-14 20:00,SELL,116186,1,116186,8313.4,7.16,8313.4,7.16,-1047.8,-0.90,7384.7,0.74
6,Exit short,2025-10-27 04:00,TP/SL,118906.7,1,115189,-3717.7,-3.23,5494.1,4.77,-3717.7,-3.23,3667,0.37
6,Entry short,2025-10-21 20:00,SELL,115189,1,115189,-3717.7,-3.23,5494.1,4.77,-3717.7,-3.23,3667,0.37
7,Exit long,2025-11-03 04:00,TP/SL,109595,1,112809.9,-3214.9,-2.85,981.5,0.87,-3214.9,-2.85,452.1,0.05
7,Entry long,2025-11-01 04:00,BUY,112809.9,1,112809.9,-3214.9,-2.85,981.5,0.87,-3214.9,-2.85,452.1,0.05
8,Exit long,2025-11-03 16:00,TP/SL,107709.4,1,110148.7,-2439.3,-2.21,485.8,0.44,-2439.3,-2.21,-1987.2,-0.20
8,Entry long,2025-11-03 12:00,BUY,110148.7,1,110148.7,-2439.3,-2.21,485.8,0.44,-2439.3,-2.21,-1987.2,-0.20
9,Exit short,2025-11-10 00:00,TP/SL,107675.7,1,103864.5,-3811.2,-3.67,2711.9,2.61,-3811.2,-3.67,-5798.4,-0.58
