Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-09-30 00:00,Buying the Breakout,219.77,47.975,10017.18,-526.29,-5.25,53.25,0.53,-599.69,-5.99,-526.29,-5.26
1,Entry short,2025-09-28 16:00,Selling the Breakdown,208.8,47.975,10017.18,-526.29,-5.25,53.25,0.53,-599.69,-5.99,-526.29,-5.26
2,Exit long,2025-09-30 16:00,Selling the Breakdown,211.92,43.157,9484.61389,-338.78,-3.57,0,0.00,-395.75,-4.17,-865.07,-8.65
2,Entry long,2025-09-30 00:00,Buying the Breakout,219.77,43.157,9484.61389,-338.78,-3.57,0,0.00,-395.75,-4.17,-865.07,-8.65
3,Exit short,2025-10-01 20:00,Buying the Breakout,225.93,43.105,9134.8116,-603.9,-6.61,75,0.82,-649.59,-7.11,-1468.97,-14.69
3,Entry short,2025-09-30 16:00,Selling the Breakdown,211.92,43.105,9134.8116,-603.9,-6.61,75,0.82,-649.59,-7.11,-1468.97,-14.69
4,Exit long,2025-10-04 20:00,Selling the Breakdown,233.25,37.556,8485.02708,274.91,3.24,668.12,7.87,-36.05,-0.42,-1194.06,-11.94
4,Entry long,2025-10-01 20:00,Buying the Breakout,225.93,37.556,8485.02708,274.91,3.24,668.12,7.87,-36.05,-0.42,-1194.06,-11.94
5,Exit short,2025-10-05 08:00,Buying the Breakout,243.38,37.753,8805.88725,-382.44,-4.34,37.38,0.42,-438.31,-4.98,-1576.5,-15.76
5,Entry short,2025-10-04 20:00,Selling the Breakdown,233.25,37.753,8805.88725,-382.44,-4.34,37.38,0.42,-438.31,-4.98,-1576.5,-15.76
6,Exit long,2025-10-05 20:00,Selling the Breakdown,230.82,34.616,8424.84208,-434.78,-5.16,13.15,0.16,-536.89,-6.37,-2011.27,-20.11
6,Entry long,2025-10-05 08:00,Buying the Breakout,243.38,34.616,8424.84208,-434.78,-5.16,13.15,0.16,-536.89,-6.37,-2011.27,-20.11
7,Exit short,2025-10-13 04:00,Buying the Breakout,196.75,34.61,7988.6802,1179.16,14.76,3201.43,40.07,-452.7,-5.67,-832.11,-8.32
7,Entry short,2025-10-05 20:00,Selling the Breakdown,230.82,34.61,7988.6802,1179.16,14.76,3201.43,40.07,-452.7,-5.67,-832.11,-8.32
8,Exit long,2025-10-16 12:00,Selling the Breakdown,200.51,46.609,9170.32075,175.25,1.91,789.09,8.60,-288.51,-3.15,-656.86,-6.57
8,Entry long,2025-10-13 04:00,Buying the Breakout,196.75,46.609,9170.32075,175.25,1.91,789.09,8.60,-288.51,-3.15,-656.86,-6.57
9,Exit short,2025-10-21 20:00,Buying the Breakout,197.8,46.596,9342.96396,126.28,1.35,1066.58,11.42,-59.18,-0.63,-530.59,-5.31
9,Entry short,2025-10-16 12:00,Selling the Breakdown,200.51,46.596,9342.96396,126.28,1.35,1066.58,11.42,-59.18,-0.63,-530.59,-5.31
10,Exit long,2025-10-22 12:00,Selling the Breakdown,188.8,47.578,9410.9284,-428.2,-4.55,0,0.00,-580.93,-6.17,-958.79,-9.59
10,Entry long,2025-10-21 20:00,Buying the Breakout,197.8,47.578,9410.9284,-428.2,-4.55,0,0.00,-580.93,-6.17,-958.79,-9.59
11,Exit short,2025-10-23 20:00,Buying the Breakout,194.6,47.888,9041.2544,-277.75,-3.07,412.79,4.57,-394.6,-4.36,-1236.54,-12.37
11,Entry short,2025-10-22 12:00,Selling the Breakdown,188.8,47.888,9041.2544,-277.75,-3.07,412.79,4.57,-394.6,-4.36,-1236.54,-12.37
12,Exit long,2025-10-28 16:00,Selling the Breakdown,202.55,44.814,8720.8044,356.27,4.09,648.46,7.44,-118.76,-1.36,-880.27,-8.80
12,Entry long,2025-10-23 20:00,Buying the Breakout,194.6,44.814,8720.8044,356.27,4.09,648.46,7.44,-118.76,-1.36,-880.27,-8.80
13,Exit short,2025-11-03 04:00,Buying the Breakout,180.11,45.024,9119.6112,1010.34,11.08,1030.6,11.30,-131.02,-1.44,130.07,1.30
13,Entry short,2025-10-28 16:00,Selling the Breakdown,202.55,45.024,9119.6112,1010.34,11.08,1030.6,11.30,-131.02,-1.44,130.07,1.30
14,Exit long,2025-11-03 12:00,Selling the Breakdown,178.26,56.097,10103.63067,-103.78,-1.03,75.17,0.74,-215.41,-2.13,26.29,0.26
14,Entry long,2025-11-03 04:00,Buying the Breakout,180.11,56.097,10103.63067,-103.78,-1.03,75.17,0.74,-215.41,-2.13,26.29,0.26
15,Exit short,2025-11-08 04:00,Buying the Breakout,165.43,56.245,10026.2337,721.62,7.20,1711.54,17.07,-62.43,-0.62,747.91,7.48
15,Entry short,2025-11-03 12:00,Selling the Breakdown,178.26,56.245,10026.2337,721.62,7.20,1711.54,17.07,-62.43,-0.62,747.91,7.48
16,Exit long,2025-11-12 04:00,Selling the Breakdown,156.7,65.329,10807.37647,-570.32,-5.28,577.51,5.34,-619.97,-5.74,177.59,1.78
16,Entry long,2025-11-08 04:00,Buying the Breakout,165.43,65.329,10807.37647,-570.32,-5.28,577.51,5.34,-619.97,-5.74,177.59,1.78
17,Exit short,2025-11-20 08:00,Buying the Breakout,145.19,64.949,10177.5083,747.56,7.35,1714,16.84,-418.27,-4.11,925.16,9.25
17,Entry short,2025-11-12 04:00,Selling the Breakdown,156.7,64.949,10177.5083,747.56,7.35,1714,16.84,-418.27,-4.11,925.16,9.25
18,Exit long,2025-11-29 12:00,Selling the Breakdown,138.62,75.112,10905.51128,-493.49,-4.53,81.87,0.75,-1702.79,-15.61,431.67,4.32
18,Entry long,2025-11-20 08:00,Buying the Breakout,145.19,75.112,10905.51128,-493.49,-4.53,81.87,0.75,-1702.79,-15.61,431.67,4.32
19,Exit short,2025-11-30 16:00,Buying the Breakout,140.23,75.253,10431.57086,-121.16,-1.16,164.05,1.57,-193.4,-1.85,310.51,3.11
19,Entry short,2025-11-29 12:00,Selling the Breakdown,138.62,75.253,10431.57086,-121.16,-1.16,164.05,1.57,-193.4,-1.85,310.51,3.11
20,Exit long,2025-12-01 08:00,Selling the Breakdown,129.01,74.712,10476.86376,-838.27,-8.00,71.72,0.68,-962.29,-9.18,-527.76,-5.28
20,Entry long,2025-11-30 16:00,Buying the Breakout,140.23,74.712,10476.86376,-838.27,-8.00,71.72,0.68,-962.29,-9.18,-527.76,-5.28
21,Exit short,2025-12-02 16:00,Buying the Breakout,140.36,73.418,9471.65618,-833.29,-8.80,324.51,3.43,-899.37,-9.50,-1361.05,-13.61
21,Entry short,2025-12-01 08:00,Selling the Breakdown,129.01,73.418,9471.65618,-833.29,-8.80,324.51,3.43,-899.37,-9.50,-1361.05,-13.61
22,Exit long,2025-12-04 20:00,Selling the Breakdown,141.27,62.536,8777.55296,56.91,0.65,502.79,5.73,-68.16,-0.78,-1304.14,-13.04
22,Entry long,2025-12-02 16:00,Buying the Breakout,140.36,62.536,8777.55296,56.91,0.65,502.79,5.73,-68.16,-0.78,-1304.14,-13.04
23,Exit short,2025-12-08 08:00,Buying the Breakout,137.33,61.555,8695.87485,242.53,2.79,773.75,8.90,-54.78,-0.63,-1061.62,-10.62
23,Entry short,2025-12-04 20:00,Selling the Breakdown,141.27,61.555,8695.87485,242.53,2.79,773.75,8.90,-54.78,-0.63,-1061.62,-10.62
24,Exit long,2025-12-14 12:00,Selling the Breakdown,132.75,65.391,8980.14603,-299.49,-3.34,580.67,6.47,-460.35,-5.13,-1361.11,-13.61
24,Entry long,2025-12-08 08:00,Buying the Breakout,137.33,65.391,8980.14603,-299.49,-3.34,580.67,6.47,-460.35,-5.13,-1361.11,-13.61
25,Exit short,2025-12-15 16:00,Buying the Breakout,127.5,65.076,8638.839,341.65,3.95,341.65,3.95,-280.48,-3.25,-1019.46,-10.19
