Asset,Timeframe,Strategy_ID,Strategy_Name,Strategies,Trades,Win_Rate,ROI,SL,TP
ETHUSDT,4h,194,Breakout_Volume_ADX,"Breakout_20, Volume_Spike, ADX_Trend, Supertrend, VWAP",78,26.92,94.28,0.02,0.12
ETHUSDT,15m,229,Momentum_Trade,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",68,20.59,85.51,0.015,0.09
ETHUSDT,1h,180,Volume_Trend_ADX,"Volume_Spike, Trend_MA50, ADX_Trend, EMA_Cross, MACD_Cross",103,26.21,83.43,0.018,0.1
ETHUSDT,1h,193,MACD_Trend_Strength,"MACD_Cross, Trend_MA50, ADX_Trend, EMA_Cross, Volume_Spike",103,26.21,83.43,0.018,0.1
ETHUSDT,1h,223,Aggressive_Entry,"Breakout_20, Volume_Spike, MACD_Cross, ADX_Trend",136,24.26,79.62,0.018,0.1
ETHUSDT,15m,213,MACD_BB_Stochastic_ADX,"MACD_Cross, BB_Lower, Stochastic, ADX_Trend, Trend_MA50",71,18.31,75.76,0.015,0.09
ETHUSDT,1h,173,MACD_Breakout,"MACD_Cross, Breakout_20, Volume_Spike, ADX_Trend",108,23.15,75.61,0.02,0.12
ETHUSDT,15m,219,Volume_Stochastic_MACD_ADX,"Volume_Spike, Stochastic, MACD_Cross, ADX_Trend, Trend_MA50, Supertrend",61,19.67,75.57,0.02,0.12
ETHUSDT,1h,124,Breakout_Momentum,"Breakout_20, Volume_Spike, MACD_Cross",116,22.41,66,0.02,0.12
ETHUSDT,1h,38,Breakout_Momentum,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",116,22.41,65.59,0.02,0.12
ETHUSDT,1h,161,EMA_Break_Momentum,"EMA_Cross, Breakout_20, MACD_Cross, ADX_Trend",128,24.22,65.12,0.018,0.1
ETHUSDT,15m,210,Mega_Confirmation,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP, Trend_MA50",45,17.78,64.87,0.025,0.15
ETHUSDT,1h,229,Momentum_Trade,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",107,24.3,63.93,0.015,0.09
BNBUSDT,4h,219,Volume_Stochastic_MACD_ADX,"Volume_Spike, Stochastic, MACD_Cross, ADX_Trend, Trend_MA50, Supertrend",28,32.14,63.47,0.02,0.12
ETHUSDT,15m,193,MACD_Trend_Strength,"MACD_Cross, Trend_MA50, ADX_Trend, EMA_Cross, Volume_Spike",65,21.54,61.81,0.018,0.1
ETHUSDT,15m,180,Volume_Trend_ADX,"Volume_Spike, Trend_MA50, ADX_Trend, EMA_Cross, MACD_Cross",65,21.54,61.81,0.018,0.1
ETHUSDT,1h,15,Aggressive_Growth,"EMA_Cross, MACD_Cross, Volume_Spike, Breakout_20, ADX_Trend, VWAP",103,22.33,60.9,0.02,0.12
ETHUSDT,4h,87,Breakout_Retest_Pro,"Breakout_20, RSI_Oversold, MACD_Cross",104,26.92,60.66,0.01,0.07
ETHUSDT,1h,200,Volume_All_Confirm,"Volume_Spike, EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP",103,22.33,60.5,0.02,0.12
ETHUSDT,1h,12,EMA_Cloud_Strength,"EMA_Cross, Trend_MA50, ADX_Trend",138,22.46,60.49,0.015,0.09
ETHUSDT,1h,91,Trend_Follower_Pro,"EMA_Cross, Trend_MA50, ADX_Trend",138,22.46,60.49,0.015,0.09
ETHUSDT,15m,225,High_Profit_Trade,"EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP, Trend_MA50",45,17.78,60.04,0.025,0.15
ETHUSDT,1h,6,Breakout_Hunter,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",148,22.97,59.68,0.018,0.1
ETHUSDT,15m,178,BB_EMA_VWAP,"BB_Lower, EMA_Cross, VWAP, Trend_MA50",110,17.27,59.3,0.012,0.08
ETHUSDT,15m,196,VWAP_MACD_ADX,"VWAP, MACD_Cross, ADX_Trend, Trend_MA50, EMA_Cross",71,19.72,59.09,0.015,0.09
ETHUSDT,15m,206,VWAP_Trend_Entry,"VWAP, Trend_MA50, EMA_Cross, ADX_Trend, MACD_Cross",71,19.72,59.09,0.015,0.09
ETHUSDT,15m,200,Volume_All_Confirm,"Volume_Spike, EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP",60,18.33,58.08,0.02,0.12
ETHUSDT,15m,15,Aggressive_Growth,"EMA_Cross, MACD_Cross, Volume_Spike, Breakout_20, ADX_Trend, VWAP",60,18.33,58.08,0.02,0.12
ETHUSDT,4h,81,Breakout_Thermo,"Breakout_20, Volume_Spike, ADX_Trend, Trend_MA50",92,26.09,57.95,0.018,0.1
ETHUSDT,1h,3,Volume_Breakout_Pro,"Volume_Spike, Breakout_20, VWAP",216,21.76,57.68,0.012,0.08
ETHUSDT,1h,144,Breakout_Stochastic,"Breakout_20, Stochastic, Volume_Spike",143,23.78,56.05,0.018,0.1
ETHUSDT,15m,220,Ultimate_Entry,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP, Trend_MA50, Volume_Spike",40,17.5,55.94,0.025,0.15
BNBUSDT,1h,87,Breakout_Retest_Pro,"Breakout_20, RSI_Oversold, MACD_Cross",134,23.13,55.94,0.01,0.07
ETHUSDT,1h,32,Volatility_Expansion,"BB_Lower, Volume_Spike, Breakout_20",187,22.46,55.7,0.015,0.09
ETHUSDT,4h,186,VWAP_Break_Entry,"VWAP, Breakout_20, ADX_Trend, RSI_Oversold",96,27.08,54.64,0.018,0.1
ETHUSDT,15m,199,Stochastic_Trend_MACD,"Stochastic, Trend_MA50, MACD_Cross, EMA_Cross, ADX_Trend",71,19.72,54.43,0.015,0.09
ETHUSDT,1h,196,VWAP_MACD_ADX,"VWAP, MACD_Cross, ADX_Trend, Trend_MA50, EMA_Cross",131,22.9,54.37,0.015,0.09
ETHUSDT,1h,206,VWAP_Trend_Entry,"VWAP, Trend_MA50, EMA_Cross, ADX_Trend, MACD_Cross",131,22.9,54.37,0.015,0.09
ETHUSDT,1h,167,ADX_Volume_Break,"ADX_Trend, Volume_Spike, Breakout_20, EMA_Cross",113,22.12,54.1,0.02,0.12
ETHUSDT,1h,211,EMA_Breakout_ADX,"EMA_Cross, Breakout_20, ADX_Trend, Supertrend, Volume_Spike",113,22.12,54.1,0.02,0.12
BNBUSDT,4h,38,Breakout_Momentum,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",44,27.27,53.92,0.02,0.12
BNBUSDT,1h,205,Supertrend_BB_Entry,"Supertrend, BB_Lower, EMA_Cross, MACD_Cross, RSI_Oversold",70,24.29,53.52,0.012,0.08
ETHUSDT,1h,130,Trend_Stochastic,"Trend_MA50, Stochastic, EMA_Cross",223,21.08,53.08,0.012,0.08
BNBUSDT,4h,68,Bollinger_Break_Upper,"BB_Upper, Volume_Spike, Breakout_20",51,27.45,52.83,0.015,0.09
ETHUSDT,1h,68,Bollinger_Break_Upper,"BB_Upper, Volume_Spike, Breakout_20",170,22.94,52.78,0.015,0.09
ETHUSDT,1h,199,Stochastic_Trend_MACD,"Stochastic, Trend_MA50, MACD_Cross, EMA_Cross, ADX_Trend",118,22.88,51.81,0.015,0.09
ETHUSDT,15m,184,Breakout_ADX_Pro,"Breakout_20, ADX_Trend, Volume_Spike, EMA_Cross, MACD_Cross",51,19.61,51.4,0.02,0.12
ETHUSDT,15m,75,High_Momentum_Entry,"EMA_Cross, MACD_Cross, Volume_Spike, ADX_Trend, Breakout_20",51,19.61,51.4,0.02,0.12
ETHUSDT,1h,154,Breakout_VWAP,"Breakout_20, VWAP, Volume_Spike, MACD_Cross",106,23.58,51.06,0.018,0.1
ETHUSDT,1h,203,MACD_VWAP_Breakout,"MACD_Cross, VWAP, Breakout_20, Volume_Spike",106,23.58,51.06,0.018,0.1
ETHUSDT,15m,207,ADX_Stochastic_VWAP,"ADX_Trend, Stochastic, VWAP, BB_Lower, Volume_Spike",86,18.6,50.59,0.015,0.09
ETHUSDT,1h,202,RSI_BB_MACD_Stochastic,"RSI_Oversold, BB_Lower, MACD_Cross, Stochastic",139,23.02,50.2,0.01,0.07
BNBUSDT,4h,124,Breakout_Momentum,"Breakout_20, Volume_Spike, MACD_Cross",45,26.67,50.16,0.02,0.12
ETHUSDT,4h,211,EMA_Breakout_ADX,"EMA_Cross, Breakout_20, ADX_Trend, Supertrend, Volume_Spike",83,25.3,50.13,0.02,0.12
