Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
1,Breakout_Volume_ADX,ETHUSDT,4h,10000,20617,10617,106.17,106.17,106.17,78,21,57,26.92,1.32,7.35,1.24,43.28,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
2,Aggressive_Entry,ETHUSDT,1h,10000,19920.14,9920.14,99.2,99.2,99.2,136,33,103,24.26,1.23,5.76,0.71,47.96,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
3,Volume_Trend_ADX,ETHUSDT,1h,10000,19839.05,9839.05,98.39,98.39,98.39,103,27,76,26.21,1.28,5.9,0.88,46.34,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
4,MACD_Trend_Strength,ETHUSDT,1h,10000,19839.05,9839.05,98.39,98.39,98.39,103,27,76,26.21,1.28,5.9,0.88,46.34,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
5,Momentum_Trade,ETHUSDT,15m,10000,19536.44,9536.44,95.36,95.36,95.36,68,14,54,20.59,1.52,8.75,1.38,28.6,B+,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
6,MACD_Breakout,ETHUSDT,1h,10000,19065.1,9065.1,90.65,90.65,90.65,108,25,83,23.15,1.23,6.67,0.85,43.2,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
7,Volume_Breakout_Pro,ETHUSDT,1h,10000,18583.96,8583.96,85.84,85.84,85.84,216,47,169,21.76,1.15,4.46,0.41,48.34,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
8,MACD_BB_Stochastic_ADX,ETHUSDT,15m,10000,18552.76,8552.76,85.53,85.53,85.53,71,13,58,18.31,1.45,8.21,1.21,41.06,B+,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
9,Volume_Stochastic_MACD_ADX,ETHUSDT,15m,10000,18392.13,8392.13,83.92,83.92,83.92,61,12,49,19.67,1.39,10.05,1.49,40.43,B+,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.01%,"SL:0.02, TP:0.12, TS:0.02",15m
10,EMA_Break_Momentum,ETHUSDT,1h,10000,18201.24,8201.24,82.01,82.01,82.01,128,31,97,24.22,1.21,5.84,0.67,41.07,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
11,Trend_Stochastic,ETHUSDT,1h,10000,18138.55,8138.55,81.39,81.39,81.39,223,47,176,21.08,1.15,4.51,0.39,37.51,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
12,Breakout_Momentum,ETHUSDT,1h,10000,18132.06,8132.06,81.32,81.32,81.32,116,26,90,22.41,1.2,6.56,0.75,42.48,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
13,Breakout_Momentum,ETHUSDT,1h,10000,18086.96,8086.96,80.87,80.87,80.87,116,26,90,22.41,1.19,6.56,0.75,42.48,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
14,Volatility_Expansion,ETHUSDT,1h,10000,17950.29,7950.29,79.5,79.5,79.5,187,42,145,22.46,1.14,5.06,0.47,50.65,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
15,Breakout_Hunter,ETHUSDT,1h,10000,17871.5,7871.5,78.71,78.71,78.71,148,34,114,22.97,1.17,5.63,0.58,50.8,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
16,Trend_Follower_Pro,ETHUSDT,1h,10000,17826.11,7826.11,78.26,78.26,78.26,138,31,107,22.46,1.21,5.1,0.58,43.02,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
17,EMA_Cloud_Strength,ETHUSDT,1h,10000,17826.11,7826.11,78.26,78.26,78.26,138,31,107,22.46,1.21,5.1,0.58,43.02,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
18,Momentum_Trade,ETHUSDT,1h,10000,17783.66,7783.66,77.84,77.84,77.84,107,26,81,24.3,1.34,5.07,0.7,18.08,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
19,Aggressive_Growth,ETHUSDT,1h,10000,17401.71,7401.71,74.02,74.02,74.02,103,23,80,22.33,1.2,6.45,0.77,37.41,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
20,Breakout_Stochastic,ETHUSDT,1h,10000,17397.99,7397.99,73.98,73.98,73.98,143,34,109,23.78,1.17,5.84,0.58,42.91,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
21,Breakout_Retest_Pro,ETHUSDT,4h,10000,17389.33,7389.33,73.89,73.89,73.89,104,28,76,26.92,1.38,4.8,0.69,25.9,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
22,Bollinger_Break_Upper,ETHUSDT,1h,10000,17387.91,7387.91,73.88,73.88,73.88,170,39,131,22.94,1.16,5.08,0.48,41.47,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
23,Volume_All_Confirm,ETHUSDT,1h,10000,17358.43,7358.43,73.58,73.58,73.58,103,23,80,22.33,1.2,6.45,0.77,37.41,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
24,BB_EMA_VWAP,ETHUSDT,15m,10000,17321.05,7321.05,73.21,73.21,73.21,110,19,91,17.27,1.29,7.43,0.77,37.29,B+,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
25,ADX_EMA_BB,ETHUSDT,1h,10000,17272.69,7272.69,72.73,72.73,72.73,214,46,168,21.5,1.14,4.53,0.38,43.53,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
26,Breakout_Retest_Pro,BNBUSDT,1h,10000,17267.56,7267.56,72.68,72.68,72.68,134,31,103,23.13,1.27,3.88,0.52,36.77,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
