Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
1,Breakout_Retest_Pro,DOTUSDT,4h,10000,15226.65,5226.65,52.27,52.27,52.27,56,25,31,44.64,1.75,3.86,0.88,17.29,A,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
2,Breakout_VWAP,DOTUSDT,4h,10000,14719.85,4719.85,47.2,47.2,47.2,9,6,3,66.67,12.0,6.42,4.82,3.69,A,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
3,MACD_VWAP_Breakout,DOTUSDT,4h,10000,14719.85,4719.85,47.2,47.2,47.2,9,6,3,66.67,12.0,6.42,4.82,3.69,A,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
4,MACD_Histogram_Trade,DOTUSDT,4h,10000,13451.97,3451.97,34.52,34.52,34.52,65,28,37,43.08,1.43,3.76,0.57,17.29,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
5,ADX_Volatility_Trade,DOTUSDT,1h,10000,13299.97,3299.97,33.0,33.0,33.0,112,43,69,38.39,1.41,2.6,0.32,16.52,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
6,ADX_BB_Combo,DOTUSDT,1h,10000,13299.97,3299.97,33.0,33.0,33.0,112,43,69,38.39,1.41,2.6,0.32,16.52,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
7,Stochastic_Momentum,DOTUSDT,1h,10000,13291.21,3291.21,32.91,32.91,32.91,113,42,71,37.17,1.38,2.63,0.32,15.61,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
8,RSI_Momentum_Burst,DOTUSDT,4h,10000,13200.37,3200.37,32.0,32.0,32.0,84,30,54,35.71,1.28,4.2,0.45,25.91,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
9,Breakout_Multi_Signal,DOTUSDT,1h,10000,12845.52,2845.52,28.46,28.46,28.46,19,7,12,36.84,2.09,5.66,1.56,11.21,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
10,ADX_Breakout,DOTUSDT,1h,10000,12811.76,2811.76,28.12,28.12,28.12,88,35,53,39.77,1.36,3.18,0.36,13.0,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
11,Channel_Trend_Follow,DOTUSDT,1h,10000,12811.76,2811.76,28.12,28.12,28.12,88,35,53,39.77,1.36,3.18,0.36,13.0,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
