Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
1,VWAP_Break_Entry,LINKUSDT,4h,10000,14144.57,4144.57,41.45,41.45,41.45,29,13,16,44.83,1.9,5.57,1.43,12.76,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
2,Bollinger_Break_Upper,LINKUSDT,1h,10000,12834.0,2834.0,28.34,28.34,28.34,29,13,16,44.83,2.29,3.24,0.98,4.49,B+,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
3,MACD_BB_Stochastic_ADX,LINKUSDT,4h,10000,12436.51,2436.51,24.37,24.37,24.37,19,9,10,47.37,1.93,5.18,1.36,9.05,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
4,Aggressive_Entry,LINKUSDT,1h,10000,12059.39,2059.39,20.59,20.59,20.59,27,14,13,51.85,1.91,2.99,0.79,6.46,A,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
5,Breakout_Stochastic,LINKUSDT,1h,10000,12048.58,2048.58,20.49,20.49,20.49,39,17,22,43.59,1.5,3.61,0.58,11.04,B+,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
6,Breakout_Hunter,LINKUSDT,1h,10000,12021.22,2021.22,20.21,20.21,20.21,34,16,18,47.06,1.69,2.97,0.63,8.27,B+,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
7,ADX_Stochastic_VWAP,LINKUSDT,1h,10000,11943.15,1943.15,19.43,19.43,19.43,31,11,20,35.48,1.73,3.37,0.68,9.83,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
8,RSI_Stochastic_ADX,LINKUSDT,1h,10000,11915.61,1915.61,19.16,19.16,19.16,43,19,24,44.19,1.5,3.14,0.5,10.28,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
9,BB_Stochastic_MACD_ADX,LINKUSDT,1h,10000,11841.52,1841.52,18.42,18.42,18.42,40,15,25,37.5,1.5,3.37,0.52,7.22,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
10,ADX_Stochastic_BB,LINKUSDT,4h,10000,11803.98,1803.98,18.04,18.04,18.04,55,20,35,36.36,1.26,4.17,0.42,23.29,C,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
11,ADX_BB_MACD,LINKUSDT,1h,10000,11752.84,1752.84,17.53,17.53,17.53,42,17,25,40.48,1.51,3.03,0.47,7.32,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
12,Volume_MACD_ADX,LINKUSDT,1h,10000,11671.01,1671.01,16.71,16.71,16.71,38,15,23,39.47,1.46,3.14,0.49,7.5,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
13,ADX_Volatility_Trade,LINKUSDT,1h,10000,11550.33,1550.33,15.5,15.5,15.5,93,37,56,39.78,1.25,2.19,0.21,11.83,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
14,ADX_BB_Combo,LINKUSDT,1h,10000,11550.33,1550.33,15.5,15.5,15.5,93,37,56,39.78,1.25,2.19,0.21,11.83,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
15,Supertrend_Volume_ADX,LINKUSDT,1h,10000,11530.41,1530.41,15.3,15.3,15.3,36,15,21,41.67,1.41,3.17,0.48,8.82,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
16,RSI_Stochastic_VWAP_ADX,LINKUSDT,4h,10000,11474.28,1474.28,14.74,14.74,14.74,15,8,7,53.33,1.69,5.15,1.11,9.2,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
17,RSI_Momentum_Burst,LINKUSDT,1h,10000,11392.29,1392.29,13.92,13.92,13.92,59,25,34,42.37,1.26,2.82,0.29,12.29,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
18,MACD_Breakout,LINKUSDT,1h,10000,11364.96,1364.96,13.65,13.65,13.65,25,13,12,52.0,1.6,2.95,0.6,5.62,B+,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
19,Breakout_Momentum,LINKUSDT,1h,10000,11321.64,1321.64,13.22,13.22,13.22,30,15,15,50.0,1.47,2.95,0.5,8.17,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
20,Volatility_Expansion,LINKUSDT,1h,10000,11277.45,1277.45,12.77,12.77,12.77,44,15,29,34.09,1.32,3.15,0.35,9.73,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
21,Stochastic_Pro_Trade,LINKUSDT,1h,10000,11244.54,1244.54,12.45,12.45,12.45,54,19,35,35.19,1.22,3.37,0.3,13.85,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
22,Supertrend_RSI_MACD_ADX,LINKUSDT,1h,10000,11060.27,1060.27,10.6,10.6,10.6,52,19,33,36.54,1.19,3.38,0.28,12.72,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
23,Supertrend_Confirm,LINKUSDT,1h,10000,11060.27,1060.27,10.6,10.6,10.6,52,19,33,36.54,1.19,3.38,0.28,12.72,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
24,MACD_BB_Stochastic_ADX,LINKUSDT,1h,10000,11050.86,1050.86,10.51,10.51,10.51,16,5,11,31.25,1.67,3.76,0.74,6.27,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
25,EMA_MACD_Stochastic,LINKUSDT,1h,10000,11013.75,1013.75,10.14,10.14,10.14,55,19,36,34.55,1.18,3.35,0.26,13.85,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
26,ADX_EMA_BB,LINKUSDT,15m,10000,10992.3,992.3,9.92,9.92,9.92,25,13,12,52.0,1.94,1.64,0.43,3.53,B+,Active,Historical_Parquet,10 days,2026-03-06,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
27,Stochastic_ADX,LINKUSDT,1h,10000,10921.22,921.22,9.21,9.21,9.21,98,36,62,36.73,1.12,2.64,0.15,13.68,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
28,Mean_Reversion_Pro,LINKUSDT,4h,10000,10892.33,892.33,8.92,8.92,8.92,30,11,19,36.67,1.19,4.9,0.43,20.01,C,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
29,Double_Bottom_Formation,LINKUSDT,4h,10000,10892.33,892.33,8.92,8.92,8.92,30,11,19,36.67,1.19,4.9,0.43,20.01,C,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
30,RSI_Confirmation,LINKUSDT,4h,10000,10892.33,892.33,8.92,8.92,8.92,30,11,19,36.67,1.19,4.9,0.43,20.01,C,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
31,BB_Stochastic_Trade,LINKUSDT,4h,10000,10892.33,892.33,8.92,8.92,8.92,30,11,19,36.67,1.19,4.9,0.43,20.01,C,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
32,RSI_Stochastic_Pro,LINKUSDT,4h,10000,10892.33,892.33,8.92,8.92,8.92,30,11,19,36.67,1.19,4.9,0.43,20.01,C,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
33,Oversold_Recovery,LINKUSDT,4h,10000,10892.33,892.33,8.92,8.92,8.92,30,11,19,36.67,1.19,4.9,0.43,20.01,C,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
34,Momentum_Burst,LINKUSDT,1h,10000,10890.6,890.6,8.91,8.91,8.91,75,26,49,34.67,1.15,2.58,0.17,10.64,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
35,EMA_Momentum_Entry,LINKUSDT,1h,10000,10890.6,890.6,8.91,8.91,8.91,75,26,49,34.67,1.15,2.58,0.17,10.64,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
36,Stochastic_Momentum,LINKUSDT,1h,10000,10885.23,885.23,8.85,8.85,8.85,101,35,66,34.65,1.13,2.26,0.13,12.29,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
37,MACD_Cross_Pro,LINKUSDT,15m,10000,10882.19,882.19,8.82,8.82,8.82,32,17,15,53.12,1.74,1.42,0.31,5.75,B,Active,Historical_Parquet,10 days,2026-03-06,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
38,Breakout_Momentum,LINKUSDT,15m,10000,10867.78,867.78,8.68,8.68,8.68,10,3,7,30.0,2.32,3.0,0.94,3.82,C,Active,Historical_Parquet,10 days,2026-03-06,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",15m
39,VWAP_BB_Stochastic_EMA,LINKUSDT,4h,10000,10864.96,864.96,8.65,8.65,8.65,14,7,7,50.0,1.4,5.12,0.77,8.75,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
40,Trend_Line_Break,LINKUSDT,1h,10000,10852.53,852.53,8.53,8.53,8.53,63,21,42,33.33,1.12,3.58,0.22,15.14,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
41,Breakout_Alert,LINKUSDT,1h,10000,10852.53,852.53,8.53,8.53,8.53,63,21,42,33.33,1.12,3.58,0.22,15.14,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
42,ADX_BB_MACD,LINKUSDT,15m,10000,10838.32,838.32,8.38,8.38,8.38,21,10,11,47.62,2.09,1.63,0.44,3.53,B,Active,Historical_Parquet,10 days,2026-03-06,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
43,Multi_Indicator,LINKUSDT,1h,10000,10833.26,833.26,8.33,8.33,8.33,53,19,34,35.85,1.14,3.36,0.23,12.72,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
44,EMA_RSI_MACD_ADX,LINKUSDT,1h,10000,10833.26,833.26,8.33,8.33,8.33,53,19,34,35.85,1.14,3.36,0.23,12.72,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
