Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
1,Supertrend_Confirm,SOLUSDT,1h,10000,12391.71,2391.71,23.92,23.92,23.92,27,7,20,25.93,1.56,5.1,0.98,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
2,Supertrend_RSI_MACD_ADX,SOLUSDT,1h,10000,12391.71,2391.71,23.92,23.92,23.92,27,7,20,25.93,1.56,5.1,0.98,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
3,RSI_Bullish_Divergence,SOLUSDT,4h,10000,12388.98,2388.98,23.89,23.89,23.89,68,19,49,27.94,1.24,4.4,0.44,B,Active,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
4,RSI_BB_Combo,SOLUSDT,4h,10000,12388.98,2388.98,23.89,23.89,23.89,68,19,49,27.94,1.24,4.4,0.44,B,Active,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
5,RSI_Divergence_Pro,SOLUSDT,4h,10000,12388.98,2388.98,23.89,23.89,23.89,68,19,49,27.94,1.24,4.4,0.44,B,Active,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
6,Stochastic_Trend_MACD,SOLUSDT,1h,10000,12339.21,2339.21,23.39,23.39,23.39,16,5,11,31.25,1.94,5.5,1.55,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
7,Breakout_Retest,SOLUSDT,4h,10000,12315.35,2315.35,23.15,23.15,23.15,53,16,37,30.19,1.26,4.54,0.53,B,Active,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
8,EMA_RSI_MACD_ADX,SOLUSDT,1h,10000,12200.61,2200.61,22.01,22.01,22.01,28,7,21,25.0,1.5,5.03,0.89,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
9,Multi_Indicator,SOLUSDT,1h,10000,12200.61,2200.61,22.01,22.01,22.01,28,7,21,25.0,1.5,5.03,0.89,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
10,ADX_BB_MACD,SOLUSDT,15m,10000,12037.15,2037.15,20.37,20.37,20.37,6,3,3,50.0,6.03,4.68,3.42,B+,Active,Historical_Parquet,365 days,1772920800,1773819900,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
