Rank,name,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI_per_annum,ROI_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Gross_DD_Percent,Net_DD_Percent,Capital_At_Net_DD,Performance_Grade,Deployment_Status,Score,Data_Source,Time_Period,Time_Start,Time_End,Fees_Exchange,Candle_Period,Parameters
1,Breakout_Hunter,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",SOLUSDT,4h,10000,327545.69,317545.69,86.37,3175.46,583,211,372,36.19,1.2,3.24,0.9766,55.09,26.76,7324.04,B,Active,1293.08,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=3.0%, TP=8.0%, TS=2.5%"
2,Momentum_Burst,"EMA_Cross, Volume_Spike, MACD_Cross",SOLUSDT,4h,10000,246772.05,236772.05,77.19,2367.72,964,330,634,34.23,1.09,2.95,0.6683,63.49,8.91,9108.96,B,Active,968.23,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=3.0%"
3,Golden_Cross_Pro,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",SOLUSDT,4h,10000,213369.27,203369.27,72.65,2033.69,1131,454,677,40.14,1.08,3.13,0.5436,73.28,36.13,6387.37,B,Active,836.28,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=2.5%, TP=5.0%, TS=2.5%"
4,Breakout_Momentum,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",ETHUSDT,4h,10000,185395.42,175395.42,59.94,1753.95,375,80,295,21.33,1.19,2.89,1.2199,58.25,0.0,10000.0,B,Active,719.84,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=15.0%, TS=2.0%"
5,Volume_Weighted_Entry,"Volume_Spike, VWAP, EMA_Cross",SOLUSDT,4h,10000,122020.03,112020.03,56.26,1120.2,860,235,625,27.33,1.04,2.49,0.747,85.34,33.59,6641.29,B,Active,466.7,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=5.0%, TP=15.0%, TS=2.5%"
6,Breakout_Momentum,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",BNBUSDT,4h,10000,119255.02,109255.02,48.98,1092.55,331,67,264,20.24,1.29,2.64,1.1886,55.2,3.93,9607.2,B,Active,456.02,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=15.0%, TS=2.0%"
7,Aggressive_Growth,"EMA_Cross, MACD_Cross, Volume_Spike, Breakout_20, ADX_Trend, VWAP",SOLUSDT,4h,10000,91505.17,81505.17,48.44,815.05,690,168,522,24.35,1.09,2.48,0.6567,65.21,56.47,4353.41,B,Active,344.23,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=1.5%, TP=10.0%, TS=2.0%"
8,Momentum_Burst,"EMA_Cross, Volume_Spike, MACD_Cross",BNBUSDT,4h,10000,99342.84,89342.84,44.67,893.43,803,296,507,36.86,1.16,2.8,0.5291,62.04,1.54,9846.04,B,Active,380.01,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=3.0%"
9,Trend_Follower_Multi,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",SOLUSDT,4h,10000,74462.58,64462.58,43.08,644.63,684,163,521,23.83,1.06,2.23,0.7229,72.16,34.3,6570.42,B,Active,275.6,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=2.0%"
10,Trend_Acceleration,"EMA_Cross, ADX_Trend, Volume_Spike, Trend_MA50",SOLUSDT,4h,10000,70799.5,60799.5,41.8,607.99,1411,481,930,34.09,1.05,2.67,0.3741,70.61,34.24,6576.48,B,Active,263.96,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=1.5%, TP=5.0%, TS=2.0%"
