Rank,name,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI_per_annum,ROI_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Gross_DD_Percent,Net_DD_Percent,Capital_At_Net_DD,Performance_Grade,Deployment_Status,Score,Data_Source,Time_Period,Time_Start,Time_End,Fees_Exchange,Candle_Period,Parameters
1,VWAP_Momentum_Pro,"VWAP, EMA_Cross, MACD_Cross, Volume_Spike",SOLUSDT,4h,10000,188483.85,178483.85,68.87,1784.84,670,202,468,30.15,1.07,2.75,0.851,63.26,50.59,4940.82,B,Active,733.67,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=3.0%, TP=10.0%, TS=2.5%"
2,EMA_Break_Momentum,"EMA_Cross, Breakout_20, MACD_Cross, ADX_Trend",BNBUSDT,4h,10000,227719.99,217719.99,65.32,2177.2,413,133,280,32.2,1.26,3.15,1.14,50.16,1.54,9846.04,B,Active,893.18,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.0%, TP=15.0%, TS=2.5%"
3,MACD_Breakout,"MACD_Cross, Breakout_20, Volume_Spike, ADX_Trend",BNBUSDT,4h,10000,207871.84,197871.84,62.91,1978.72,430,174,256,40.47,1.42,3.51,1.004,42.16,21.31,7868.73,B,Active,819.35,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=1.5%"
4,Volume_Stochastic_MACD_ADX,"Volume_Spike, Stochastic, MACD_Cross, ADX_Trend, Trend_MA50, Supertrend",ETHUSDT,4h,10000,162420.76,152420.76,56.57,1524.21,226,59,167,26.11,1.26,3.01,1.746,44.08,2.04,9795.91,B,Active,631.28,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=2.0%"
5,ADX_Volume_Break,"ADX_Trend, Volume_Spike, Breakout_20, EMA_Cross",BNBUSDT,4h,10000,155974.69,145974.69,55.55,1459.75,568,144,424,25.35,1.23,2.9,0.8026,55.84,3.06,9694.41,B,Active,603.85,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=1.0%"
6,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",ADAUSDT,4h,10000,143748.79,133748.79,53.53,1337.49,364,92,272,25.27,1.21,2.82,1.1327,41.75,0.12,9987.63,B,Active,556.35,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=1.5%"
7,Volume_EMA_Stochastic_ADX,"Volume_Spike, EMA_Cross, Stochastic, ADX_Trend, Trend_MA50",SOLUSDT,4h,10000,109424.59,99424.59,53.25,994.25,646,122,524,18.89,1.15,2.45,0.7602,67.84,47.38,5261.96,B,Active,414.86,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=1.0%, TP=15.0%, TS=1.0%"
8,High_Profit_Trade,"EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP, Trend_MA50",ETHUSDT,4h,10000,141718.94,131718.94,53.17,1317.19,299,83,216,27.76,1.12,2.62,1.4378,66.69,0.9,9910.32,B,Active,546.43,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
9,Aggressive_Entry,"Breakout_20, Volume_Spike, MACD_Cross, ADX_Trend",LINKUSDT,4h,10000,140373.85,130373.85,52.94,1303.74,562,144,418,25.62,1.25,2.99,0.7556,40.38,1.04,9895.92,B,Active,543.61,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=0.5%"
10,MACD_Trend_Strength,"MACD_Cross, Trend_MA50, ADX_Trend, EMA_Cross, Volume_Spike",BNBUSDT,4h,10000,139726.35,129726.35,52.83,1297.26,400,137,263,34.25,1.19,2.92,1.0173,57.22,1.54,9846.04,B,Active,541.1,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=10.0%, TS=2.5%"
