Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-09-26 14:15,TP/SL,113147.5,1,113677.6,-530.1,-0.47,42.4,0.04,-530.1,-0.47,-530.1,-0.05
1,Entry long,2025-09-26 14:00,BUY,113677.6,1,113677.6,-530.1,-0.47,42.4,0.04,-530.1,-0.47,-530.1,-0.05
2,Exit short,2025-09-26 17:15,TP/SL,113572.9,1,112976.3,-596.6,-0.53,431.2,0.38,-596.6,-0.53,-1126.7,-0.11
2,Entry short,2025-09-26 14:30,SELL,112976.3,1,112976.3,-596.6,-0.53,431.2,0.38,-596.6,-0.53,-1126.7,-0.11
3,Exit short,2025-09-27 03:30,TP/SL,113699.2,1,113274.7,-424.5,-0.37,240.7,0.21,-424.5,-0.37,-1551.2,-0.16
3,Entry short,2025-09-26 20:15,SELL,113274.7,1,113274.7,-424.5,-0.37,240.7,0.21,-424.5,-0.37,-1551.2,-0.16
4,Exit long,2025-09-27 07:30,TP/SL,113381.9,1,113602.4,-220.5,-0.19,103.3,0.09,-220.5,-0.19,-1771.7,-0.18
4,Entry long,2025-09-27 03:45,BUY,113602.4,1,113602.4,-220.5,-0.19,103.3,0.09,-220.5,-0.19,-1771.7,-0.18
5,Exit long,2025-09-27 17:00,TP/SL,113234.9,1,113334.7,-99.8,-0.09,36.9,0.03,-99.8,-0.09,-1871.5,-0.19
5,Entry long,2025-09-27 16:00,BUY,113334.7,1,113334.7,-99.8,-0.09,36.9,0.03,-99.8,-0.09,-1871.5,-0.19
6,Exit short,2025-09-27 17:45,TP/SL,113334.1,1,113229.2,-104.9,-0.09,19.3,0.02,-104.9,-0.09,-1976.4,-0.20
6,Entry short,2025-09-27 17:30,SELL,113229.2,1,113229.2,-104.9,-0.09,19.3,0.02,-104.9,-0.09,-1976.4,-0.20
7,Exit long,2025-09-28 00:15,TP/SL,113620.2,1,113298.8,321.4,0.28,321.4,0.28,0,0.00,-1655,-0.17
7,Entry long,2025-09-27 18:00,BUY,113298.8,1,113298.8,321.4,0.28,321.4,0.28,0,0.00,-1655,-0.17
8,Exit short,2025-09-28 13:30,TP/SL,113437.6,1,113306.7,-130.9,-0.12,246.3,0.22,-130.9,-0.12,-1785.9,-0.18
8,Entry short,2025-09-28 01:45,SELL,113306.7,1,113306.7,-130.9,-0.12,246.3,0.22,-130.9,-0.12,-1785.9,-0.18
9,Exit long,2025-09-28 15:00,TP/SL,113777.1,1,113458.3,318.8,0.28,318.8,0.28,-49.5,-0.04,-1467.1,-0.15
9,Entry long,2025-09-28 13:45,BUY,113458.3,1,113458.3,318.8,0.28,318.8,0.28,-49.5,-0.04,-1467.1,-0.15
10,Exit short,2025-09-29 08:00,TP/SL,115985,1,115646.9,-338.1,-0.29,114.8,0.10,-338.1,-0.29,-1805.2,-0.18
10,Entry short,2025-09-29 03:45,SELL,115646.9,1,115646.9,-338.1,-0.29,114.8,0.10,-338.1,-0.29,-1805.2,-0.18
11,Exit long,2025-09-29 12:30,TP/SL,116552.8,1,116046,506.8,0.44,506.8,0.44,-126.7,-0.11,-1298.4,-0.13
11,Entry long,2025-09-29 08:15,BUY,116046,1,116046,506.8,0.44,506.8,0.44,-126.7,-0.11,-1298.4,-0.13
12,Exit short,2025-09-30 07:30,TP/SL,118081.5,1,118720.2,638.7,0.54,638.7,0.54,-22.6,-0.02,-659.7,-0.07
