Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-01 19:45,Exit Long,16591,0.006029,99.942733,-0.02,-0.02,0.16,0.16,-0.09,-0.09,-0.02,0.00
1,Entry long,2023-01-01 17:30,Long,16577,0.006029,99.942733,-0.02,-0.02,0.16,0.16,-0.09,-0.09,-0.02,0.00
2,Exit long,2023-01-02 00:15,Exit Long,16599,0.006014,99.928624,-0.2,-0.20,0,0.00,-0.15,-0.15,-0.22,-0.02
2,Entry long,2023-01-01 23:15,Long,16616,0.006014,99.928624,-0.2,-0.20,0,0.00,-0.15,-0.15,-0.22,-0.02
3,Exit short,2023-01-02 01:00,Exit Short,16556,0.006025,99.9186,0.07,0.07,0.12,0.12,-0.05,-0.05,-0.15,-0.01
3,Entry short,2023-01-02 01:00,Short,16584,0.006025,99.9186,0.07,0.07,0.12,0.12,-0.05,-0.05,-0.15,-0.01
4,Exit short,2023-01-02 03:00,Exit Short,16588,0.006033,99.912513,-0.26,-0.26,0.004,0.00,-0.21,-0.21,-0.41,-0.04
4,Entry short,2023-01-02 01:15,Short,16561,0.006033,99.912513,-0.26,-0.26,0.004,0.00,-0.21,-0.21,-0.41,-0.04
5,Exit long,2023-01-02 05:00,Exit Long,16629,0.005996,99.89336,-0.29,-0.29,0,0.00,-0.24,-0.24,-0.7,-0.07
5,Entry long,2023-01-02 04:00,Long,16660,0.005996,99.89336,-0.29,-0.29,0,0.00,-0.24,-0.24,-0.7,-0.07
6,Exit long,2023-01-02 13:30,Exit Long,16689,0.00597,99.86616,-0.33,-0.33,0.09,0.09,-0.28,-0.28,-1.03,-0.10
6,Entry long,2023-01-02 07:30,Long,16728,0.00597,99.86616,-0.33,-0.33,0.09,0.09,-0.28,-0.28,-1.03,-0.10
7,Exit short,2023-01-02 15:30,Exit Short,16715,0.005983,99.838321,-0.27,-0.27,0.04,0.04,-0.22,-0.22,-1.3,-0.13
7,Entry short,2023-01-02 13:45,Short,16687,0.005983,99.838321,-0.27,-0.27,0.04,0.04,-0.22,-0.22,-1.3,-0.13
8,Exit long,2023-01-02 22:30,Exit Long,16725,0.005959,99.831127,-0.27,-0.27,0,0.00,-0.22,-0.22,-1.56,-0.16
8,Entry long,2023-01-02 22:00,Long,16753,0.005959,99.831127,-0.27,-0.27,0,0.00,-0.22,-0.22,-1.56,-0.16
9,Exit short,2023-01-03 05:45,Long,16706,0.005977,99.774061,-0.18,-0.18,0.18,0.18,-0.19,-0.19,-1.74,-0.17
9,Entry short,2023-01-02 23:00,Short,16693,0.005977,99.774061,-0.18,-0.18,0.18,0.18,-0.19,-0.19,-1.74,-0.17
10,Exit long,2023-01-03 08:30,Exit Long,16707,0.005972,99.768232,-0.09,-0.09,0.31,0.31,-0.05,-0.05,-1.84,-0.18
10,Entry long,2023-01-03 05:45,Long,16706,0.005972,99.768232,-0.09,-0.09,0.31,0.31,-0.05,-0.05,-1.84,-0.18
11,Exit long,2023-01-03 14:45,Exit Long,16723,0.005956,99.757044,-0.25,-0.26,0,0.00,-0.2,-0.21,-2.09,-0.21
11,Entry long,2023-01-03 14:45,Long,16749,0.005956,99.757044,-0.25,-0.26,0,0.00,-0.2,-0.21,-2.09,-0.21
12,Exit short,2023-01-03 21:30,Long,16662,0.005987,99.707498,-0.15,-0.15,0.24,0.24,-0.19,-0.19,-2.24,-0.22
12,Entry short,2023-01-03 15:00,Short,16654,0.005987,99.707498,-0.15,-0.15,0.24,0.24,-0.19,-0.19,-2.24,-0.22
13,Exit long,2023-01-04 03:00,Exit Long,16780,0.005985,99.72207,0.61,0.61,0.66,0.66,-0.13,-0.13,-1.63,-0.16
13,Entry long,2023-01-03 21:30,Long,16662,0.005985,99.72207,0.61,0.61,0.66,0.66,-0.13,-0.13,-1.63,-0.16
14,Exit long,2023-01-04 12:45,Short,16819,0.005931,99.812799,-0.16,-0.16,0.41,0.41,-0.26,-0.26,-1.79,-0.18
14,Entry long,2023-01-04 03:15,Long,16829,0.005931,99.812799,-0.16,-0.16,0.41,0.41,-0.26,-0.26,-1.79,-0.18
15,Exit short,2023-01-04 12:45,Exit Short,16783,0.005932,99.770308,0.11,0.11,0.16,0.16,-0.05,-0.05,-1.68,-0.17
15,Entry short,2023-01-04 12:45,Short,16819,0.005932,99.770308,0.11,0.11,0.16,0.16,-0.05,-0.05,-1.68,-0.17
16,Exit short,2023-01-04 14:30,Exit Short,16837,0.005937,99.765348,-0.3,-0.30,0.01,0.01,-0.25,-0.25,-1.97,-0.20
16,Entry short,2023-01-04 13:00,Short,16804,0.005937,99.765348,-0.3,-0.30,0.01,0.01,-0.25,-0.25,-1.97,-0.20
17,Exit long,2023-01-04 19:00,Exit Long,16881,0.005912,99.747264,-0.05,-0.05,0.61,0.61,-0.22,-0.22,-2.02,-0.20
17,Entry long,2023-01-04 16:15,Long,16872,0.005912,99.747264,-0.05,-0.05,0.61,0.61,-0.22,-0.22,-2.02,-0.20
18,Exit short,2023-01-05 07:30,Exit Short,16812,0.005932,99.74658,-0.08,-0.08,0.1,0.10,-0.07,-0.07,-2.1,-0.21
18,Entry short,2023-01-05 06:45,Short,16815,0.005932,99.74658,-0.08,-0.08,0.1,0.10,-0.07,-0.07,-2.1,-0.21
19,Exit long,2023-01-05 13:15,Exit Long,16806,0.005926,99.740506,-0.25,-0.25,0,0.00,-0.2,-0.20,-2.35,-0.23
19,Entry long,2023-01-05 12:00,Long,16831,0.005926,99.740506,-0.25,-0.25,0,0.00,-0.2,-0.20,-2.35,-0.23
20,Exit short,2023-01-05 14:15,Exit Short,16801,0.005944,99.7106,-0.25,-0.25,0.07,0.07,-0.2,-0.20,-2.6,-0.26
20,Entry short,2023-01-05 14:00,Short,16775,0.005944,99.7106,-0.25,-0.25,0.07,0.07,-0.2,-0.20,-2.6,-0.26
21,Exit long,2023-01-05 16:30,Exit Long,16822,0.005913,99.657702,-0.29,-0.29,0.05,0.05,-0.24,-0.24,-2.89,-0.29
21,Entry long,2023-01-05 15:15,Long,16854,0.005913,99.657702,-0.29,-0.29,0.05,0.05,-0.24,-0.24,-2.89,-0.29
22,Exit short,2023-01-06 08:15,Exit Short,16801,0.005926,99.64569,-0.02,-0.02,0.17,0.17,-0.16,-0.16,-2.91,-0.29
22,Entry short,2023-01-06 02:15,Short,16815,0.005926,99.64569,-0.02,-0.02,0.17,0.17,-0.16,-0.16,-2.91,-0.29
23,Exit short,2023-01-06 11:00,Exit Short,16742,0.005941,99.648393,0.08,0.08,0.13,0.13,-0.16,-0.16,-2.82,-0.28
23,Entry short,2023-01-06 09:30,Short,16773,0.005941,99.648393,0.08,0.08,0.13,0.13,-0.16,-0.16,-2.82,-0.28
24,Exit short,2023-01-06 13:00,Exit Short,16698,0.005954,99.66996,0.15,0.15,0.2,0.20,-0.07,-0.07,-2.67,-0.27
24,Entry short,2023-01-06 11:15,Short,16740,0.005954,99.66996,0.15,0.15,0.2,0.20,-0.07,-0.07,-2.67,-0.27
25,Exit short,2023-01-06 13:30,Exit Short,16726,0.005971,99.65599,-0.31,-0.32,0.08,0.08,-0.26,-0.27,-2.99,-0.30
25,Entry short,2023-01-06 13:30,Short,16690,0.005971,99.65599,-0.31,-0.32,0.08,0.08,-0.26,-0.27,-2.99,-0.30
26,Exit long,2023-01-06 19:30,Exit Long,16915,0.005924,99.647604,0.46,0.46,0.51,0.51,-0.15,-0.15,-2.53,-0.25
26,Entry long,2023-01-06 15:45,Long,16821,0.005924,99.647604,0.46,0.46,0.51,0.51,-0.15,-0.15,-2.53,-0.25
27,Exit long,2023-01-06 20:45,Exit Long,16925,0.005891,99.699284,-0.09,-0.09,0.54,0.54,-0.05,-0.05,-2.62,-0.26
27,Entry long,2023-01-06 19:45,Long,16924,0.005891,99.699284,-0.09,-0.09,0.54,0.54,-0.05,-0.05,-2.62,-0.26
28,Exit short,2023-01-07 07:45,Exit Short,16946,0.005886,99.67941,-0.16,-0.16,0.01,0.01,-0.11,-0.11,-2.79,-0.28
