Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-09-28 22:00,Exit Long,4221.75,0.2404,999.520696,15.39,1.54,15.39,1.54,-3.15,-0.32,15.39,1.54
1,Entry long,2025-09-28 17:15,Bull CHoCH,4157.74,0.2404,999.520696,15.39,1.54,15.39,1.54,-3.15,-0.32,15.39,1.54
2,Exit short,2025-10-05 02:30,Exit Short,4639.02,0.221,1015.84639,-9.38,-0.92,3.84,0.38,-9.38,-0.92,6.01,0.60
2,Entry short,2025-10-04 15:30,Bear CHoCH,4596.59,0.221,1015.84639,-9.38,-0.92,3.84,0.38,-9.38,-0.92,6.01,0.60
3,Exit long,2025-10-05 08:00,Exit Long,4761.31,0.2144,1005.994816,14.83,1.47,14.83,1.47,-4.32,-0.43,20.84,2.08
3,Entry long,2025-10-05 03:00,Bull CHoCH,4692.14,0.2144,1005.994816,14.83,1.47,14.83,1.47,-4.32,-0.43,20.84,2.08
4,Exit short,2025-10-07 20:00,Exit Short,4646.17,0.2219,1023.00338,-7.98,-0.78,4.09,0.40,-7.98,-0.78,12.86,1.29
4,Entry short,2025-10-07 18:30,Bear CHoCH,4610.2,0.2219,1023.00338,-7.98,-0.78,4.09,0.40,-7.98,-0.78,12.86,1.29
5,Exit long,2025-10-12 15:15,Exit Long,4171.54,0.2475,1013.886225,18.57,1.83,33.22,3.28,-2.1,-0.21,31.43,3.14
5,Entry long,2025-10-12 15:00,Bull CHoCH,4096.51,0.2475,1013.886225,18.57,1.83,33.22,3.28,-2.1,-0.21,31.43,3.14
6,Exit short,2025-10-14 06:45,Exit Short,4099.26,0.2478,1031.152794,15.36,1.49,15.36,1.49,-3.38,-0.33,46.79,4.68
6,Entry short,2025-10-14 06:30,Bear CHoCH,4161.23,0.2478,1031.152794,15.36,1.49,15.36,1.49,-3.38,-0.33,46.79,4.68
7,Exit long,2025-10-15 10:15,Exit Long,4247.81,0.2439,1046.440755,-10.4,-0.99,10.83,1.04,-10.4,-0.99,36.39,3.64
7,Entry long,2025-10-15 08:30,Bull CHoCH,4290.45,0.2439,1046.440755,-10.4,-0.99,10.83,1.04,-10.4,-0.99,36.39,3.64
8,Exit short,2025-10-15 15:30,Exit Short,4089.31,0.2496,1035.201024,14.51,1.40,14.51,1.40,-0.15,-0.01,50.89,5.09
8,Entry short,2025-10-15 14:45,Bear CHoCH,4147.44,0.2496,1035.201024,14.51,1.40,14.51,1.40,-0.15,-0.01,50.89,5.09
9,Exit long,2025-10-19 14:15,Exit Long,4091.23,0.2607,1050.610572,15.97,1.52,15.97,1.52,-5.96,-0.57,66.87,6.69
9,Entry long,2025-10-19 10:30,Bull CHoCH,4029.96,0.2607,1050.610572,15.97,1.52,15.97,1.52,-5.96,-0.57,66.87,6.69
10,Exit short,2025-10-22 02:00,Exit Short,3970.06,0.2714,1066.88697,-10.59,-0.99,0,0.00,-10.59,-0.99,56.28,5.63
10,Entry short,2025-10-22 00:45,Bear CHoCH,3931.05,0.2714,1066.88697,-10.59,-0.99,0,0.00,-10.59,-0.99,56.28,5.63
11,Exit long,2025-10-26 12:30,Exit Long,4162.27,0.2575,1056.205775,15.58,1.47,15.58,1.47,-8.53,-0.81,71.86,7.19
11,Entry long,2025-10-26 09:30,Bull CHoCH,4101.77,0.2575,1056.205775,15.58,1.47,15.58,1.47,-8.53,-0.81,71.86,7.19
12,Exit short,2025-10-28 20:15,Exit Short,4090.13,0.2581,1071.115,15.45,1.44,15.45,1.44,-5.38,-0.50,87.31,8.73
12,Entry short,2025-10-28 19:30,Bear CHoCH,4150,0.2581,1071.115,15.45,1.44,15.45,1.44,-5.38,-0.50,87.31,8.73
13,Exit long,2025-11-02 09:30,Exit Long,3950.6,0.2724,1086.178656,-10.04,-0.92,2.81,0.26,-10.04,-0.92,77.28,7.73
13,Entry long,2025-11-02 05:00,Bull CHoCH,3987.44,0.2724,1086.178656,-10.04,-0.92,2.81,0.26,-10.04,-0.92,77.28,7.73
14,Exit short,2025-11-03 03:00,Exit Short,3833.86,0.2767,1076.017125,15.19,1.41,15.19,1.41,0,0.00,92.46,9.25
14,Entry short,2025-11-03 02:30,Bear CHoCH,3888.75,0.2767,1076.017125,15.19,1.41,15.19,1.41,0,0.00,92.46,9.25
15,Exit long,2025-11-09 14:45,Exit Long,3565.84,0.3033,1092.853593,-11.33,-1.04,2.06,0.19,-11.38,-1.04,81.13,8.11
15,Entry long,2025-11-09 14:30,Bull CHoCH,3603.21,0.3033,1092.853593,-11.33,-1.04,2.06,0.19,-11.38,-1.04,81.13,8.11
16,Exit short,2025-11-11 17:30,Exit Short,3497.74,0.3044,1081.097908,16.39,1.52,16.39,1.52,-5.55,-0.51,97.52,9.75
16,Entry short,2025-11-11 15:15,Bear CHoCH,3551.57,0.3044,1081.097908,16.39,1.52,16.39,1.52,-5.55,-0.51,97.52,9.75
17,Exit long,2025-11-16 11:00,Exit Long,3250.37,0.3342,1096.520226,-10.25,-0.93,0,0.00,-10.25,-0.93,87.27,8.73
17,Entry long,2025-11-16 10:00,Bull CHoCH,3281.03,0.3342,1096.520226,-10.25,-0.93,0,0.00,-10.25,-0.93,87.27,8.73
