Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2012-01-26 12:00,Long Exit,4,1248.751248,9990.009984,-5009.99,-50.10,0,0.00,-5004.99,-50.05,-5009.99,-50.10
1,Entry long,2012-01-26 12:00,Long,8,1248.751248,9990.009984,-5009.99,-50.10,0,0.00,-5004.99,-50.05,-5009.99,-50.10
2,Exit long,2012-02-03 00:00,Long Exit,4,623.128121,4985.024968,-2499.99,-50.10,0,0.00,-2497.5,-50.05,-7509.98,-75.10
2,Entry long,2012-02-03 00:00,Long,8,623.128121,4985.024968,-2499.99,-50.10,0,0.00,-2497.5,-50.05,-7509.98,-75.10
3,Exit long,2012-02-03 16:00,Long Exit,4,310.941554,2487.532432,-1247.5,-50.10,0,0.00,-1246.25,-50.05,-8757.48,-87.57
3,Entry long,2012-02-03 16:00,Long,8,310.941554,2487.532432,-1247.5,-50.10,0,0.00,-1246.25,-50.05,-8757.48,-87.57
4,Exit long,2012-02-05 16:00,Long Exit,6,155.160146,1241.281168,-312.49,-25.15,0,0.00,-311.56,-25.07,-9069.97,-90.70
4,Entry long,2012-02-05 16:00,Long,8,155.160146,1241.281168,-312.49,-25.15,0,0.00,-311.56,-25.07,-9069.97,-90.70
5,Exit long,2012-02-22 20:00,Long Exit,5,132.728688,929.100816,-267.05,-28.71,0,0.00,-266.39,-28.64,-9337.02,-93.37
5,Entry long,2012-02-22 20:00,Long,7,132.728688,929.100816,-267.05,-28.71,0,0.00,-266.39,-28.64,-9337.02,-93.37
6,Exit long,2012-03-02 12:00,Long Exit,5,94.616783,662.317481,-190.37,-28.71,0,0.00,-189.9,-28.64,-9527.39,-95.27
6,Entry long,2012-03-02 12:00,Long,7,94.616783,662.317481,-190.37,-28.71,0,0.00,-189.9,-28.64,-9527.39,-95.27
7,Exit long,2012-03-13 16:00,Long Exit,3,67.448385,472.138695,-270.47,-57.23,0,0.00,-270.27,-57.19,-9797.86,-97.98
7,Entry long,2012-03-13 16:00,Long,7,67.448385,472.138695,-270.47,-57.23,0,0.00,-270.27,-57.19,-9797.86,-97.98
8,Exit long,2012-03-19 04:00,Long Exit,3,28.848695,201.940865,-115.68,-57.23,0,0.00,-115.6,-57.19,-9913.54,-99.14
8,Entry long,2012-03-19 04:00,Long,7,28.848695,201.940865,-115.68,-57.23,0,0.00,-115.6,-57.19,-9913.54,-99.14
9,Exit long,2012-06-07 12:00,Long Exit,6,12.339024,86.373168,-12.5,-14.46,0,0.00,-24.76,-28.64,-9926.04,-99.26
9,Entry long,2012-03-28 16:00,Long,7,12.339024,86.373168,-12.5,-14.46,0,0.00,-24.76,-28.64,-9926.04,-99.26
10,Exit long,2012-07-03 08:00,Long Exit,7,8.20958,73.88622,-16.55,-22.38,0,0.00,-16.49,-22.30,-9942.59,-99.43
10,Entry long,2012-07-03 08:00,Long,9,8.20958,73.88622,-16.55,-22.38,0,0.00,-16.49,-22.30,-9942.59,-99.43
11,Exit long,2012-07-17 00:00,Long Exit,9,5.735224,57.35224,-5.84,-10.18,0,0.00,-11.53,-20.08,-9948.43,-99.48
11,Entry long,2012-07-16 16:00,Long,10,5.735224,57.35224,-5.84,-10.18,0,0.00,-11.53,-20.08,-9948.43,-99.48
12,Exit long,2012-08-01 12:00,Long Exit,10,4.683081,51.513891,-4.78,-9.27,0,0.00,-9.42,-18.26,-9953.22,-99.53
12,Entry long,2012-07-27 12:00,Long,11,4.683081,51.513891,-4.78,-9.27,0,0.00,-9.42,-18.26,-9953.22,-99.53
13,Exit long,2012-08-09 12:00,Long Exit,12,3.595172,46.737236,-3.69,-7.88,0,0.00,-7.24,-15.47,-9956.9,-99.57
13,Entry long,2012-08-09 08:00,Long,13,3.595172,46.737236,-3.69,-7.88,0,0.00,-7.24,-15.47,-9956.9,-99.57
14,Exit long,2012-08-15 12:00,Long Exit,13,3.075419,43.055866,-3.16,-7.33,0,0.00,-6.19,-14.37,-9960.06,-99.60
14,Entry long,2012-08-14 00:00,Long,14,3.075419,43.055866,-3.16,-7.33,0,0.00,-6.19,-14.37,-9960.06,-99.60
15,Exit long,2012-09-04 00:00,Long Exit,8,3.069274,36.831288,-12.34,-33.47,0,0.00,-12.31,-33.40,-9972.4,-99.72
15,Entry long,2012-09-04 00:00,Long,12,3.069274,36.831288,-12.34,-33.47,0,0.00,-12.31,-33.40,-9972.4,-99.72
16,Exit long,2012-09-08 12:00,Long Exit,8,2.121109,27.574417,-10.65,-38.58,0,0.00,-10.63,-38.52,-9983.05,-99.83
16,Entry long,2012-09-06 00:00,Long,13,2.121109,27.574417,-10.65,-38.58,0,0.00,-10.63,-38.52,-9983.05,-99.83
