Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-02 15:15,Exit Short,16708,0.00599,99.95513,-0.23,-0.23,0.04,0.04,-0.18,-0.18,-0.23,-0.02
1,Entry short,2023-01-02 13:45,Short,16687,0.00599,99.95513,-0.23,-0.23,0.04,0.04,-0.18,-0.18,-0.23,-0.02
2,Exit long,2023-01-04 02:30,Exit Long,16739,0.00598,99.91982,0.08,0.08,0.13,0.13,-0.16,-0.16,-0.15,-0.01
2,Entry long,2023-01-04 01:30,Long,16709,0.00598,99.91982,0.08,0.08,0.13,0.13,-0.16,-0.16,-0.15,-0.01
3,Exit short,2023-01-05 07:15,Exit Short,16793,0.005943,99.931545,0.03,0.03,0.08,0.08,-0.07,-0.07,-0.12,-0.01
3,Entry short,2023-01-05 06:45,Short,16815,0.005943,99.931545,0.03,0.03,0.08,0.08,-0.07,-0.07,-0.12,-0.01
4,Exit long,2023-01-07 16:30,Exit Long,16924,0.0059,99.9224,-0.17,-0.17,0,0.00,-0.12,-0.12,-0.29,-0.03
4,Entry long,2023-01-07 15:00,Long,16936,0.0059,99.9224,-0.17,-0.17,0,0.00,-0.12,-0.12,-0.29,-0.03
5,Exit long,2023-01-10 15:45,Exit Long,17279,0.005765,99.90745,-0.39,-0.39,0,0.00,-0.34,-0.34,-0.68,-0.07
5,Entry long,2023-01-10 15:30,Long,17330,0.005765,99.90745,-0.39,-0.39,0,0.00,-0.34,-0.34,-0.68,-0.07
6,Exit short,2023-01-11 05:30,Exit Short,17428,0.005743,99.865027,-0.32,-0.32,0.05,0.05,-0.27,-0.27,-1,-0.10
6,Entry short,2023-01-11 03:00,Short,17389,0.005743,99.865027,-0.32,-0.32,0.05,0.05,-0.27,-0.27,-1,-0.10
7,Exit long,2023-01-11 08:15,Exit Long,17426,0.00572,99.83688,-0.26,-0.26,0,0.00,-0.21,-0.21,-1.26,-0.13
7,Entry long,2023-01-11 07:30,Long,17454,0.00572,99.83688,-0.26,-0.26,0,0.00,-0.21,-0.21,-1.26,-0.13
8,Exit short,2023-01-11 14:00,Exit Short,17381,0.005732,99.811316,0.08,0.08,0.13,0.13,-0.18,-0.18,-1.18,-0.12
8,Entry short,2023-01-11 12:30,Short,17413,0.005732,99.811316,0.08,0.08,0.13,0.13,-0.18,-0.18,-1.18,-0.12
9,Exit short,2023-01-12 07:00,Exit Short,18165,0.005519,99.83871,-0.51,-0.51,0,0.00,-0.46,-0.46,-1.69,-0.17
9,Entry short,2023-01-12 06:00,Short,18090,0.005519,99.83871,-0.51,-0.51,0,0.00,-0.46,-0.46,-1.69,-0.17
10,Exit short,2023-01-14 11:00,Exit Short,20577,0.004894,99.832706,-0.97,-0.97,0.71,0.71,-0.92,-0.92,-2.67,-0.27
10,Entry short,2023-01-14 09:45,Short,20399,0.004894,99.832706,-0.97,-0.97,0.71,0.71,-0.92,-0.92,-2.67,-0.27
11,Exit short,2023-01-15 09:45,Exit Short,20673,0.004842,99.759726,-0.44,-0.44,0.02,0.02,-0.39,-0.39,-3.1,-0.31
11,Entry short,2023-01-15 09:15,Short,20603,0.004842,99.759726,-0.44,-0.44,0.02,0.02,-0.39,-0.39,-3.1,-0.31
12,Exit long,2023-01-16 01:15,Exit Long,21062,0.004701,99.759921,-0.85,-0.85,0.39,0.39,-0.8,-0.80,-3.95,-0.40
12,Entry long,2023-01-16 01:15,Long,21221,0.004701,99.759921,-0.85,-0.85,0.39,0.39,-0.8,-0.80,-3.95,-0.40
13,Exit short,2023-01-16 13:30,Mean Exit,20836,0.004784,99.535904,-0.24,-0.24,0.33,0.33,-0.52,-0.52,-4.19,-0.42
13,Entry short,2023-01-16 08:15,Short,20806,0.004784,99.535904,-0.24,-0.24,0.33,0.33,-0.52,-0.52,-4.19,-0.42
14,Exit short,2023-01-17 03:45,Mean Exit,21136,0.00474,99.52104,-0.76,-0.77,0,0.00,-0.71,-0.72,-4.96,-0.50
14,Entry short,2023-01-17 01:30,Short,20996,0.00474,99.52104,-0.76,-0.77,0,0.00,-0.71,-0.72,-4.96,-0.50
15,Exit long,2023-01-18 14:00,Exit Long,21525,0.004644,99.455904,0.41,0.41,0.46,0.46,-0.22,-0.22,-4.55,-0.46
15,Entry long,2023-01-18 14:00,Long,21416,0.004644,99.455904,0.41,0.41,0.46,0.46,-0.22,-0.22,-4.55,-0.46
16,Exit long,2023-01-19 08:00,Mean Exit,20822,0.004778,99.473182,-0.09,-0.09,0.17,0.17,-0.15,-0.16,-4.64,-0.46
16,Entry long,2023-01-19 04:30,Long,20819,0.004778,99.473182,-0.09,-0.09,0.17,0.17,-0.15,-0.16,-4.64,-0.46
17,Exit long,2023-01-19 17:45,Exit Long,20818,0.004759,99.467859,-0.49,-0.50,0.14,0.14,-0.44,-0.45,-5.13,-0.51
17,Entry long,2023-01-19 15:45,Long,20901,0.004759,99.467859,-0.49,-0.50,0.14,0.14,-0.44,-0.45,-5.13,-0.51
18,Exit short,2023-01-20 07:15,Exit Short,20897,0.004735,99.39712,0.35,0.35,0.4,0.40,-0.25,-0.25,-4.78,-0.48
18,Entry short,2023-01-20 05:00,Short,20992,0.004735,99.39712,0.35,0.35,0.4,0.40,-0.25,-0.25,-4.78,-0.48
19,Exit short,2023-01-21 22:45,Exit Short,22855,0.004318,99.521264,0.73,0.74,0.78,0.79,-0.24,-0.24,-4.05,-0.40
19,Entry short,2023-01-21 22:45,Short,23048,0.004318,99.521264,0.73,0.74,0.78,0.79,-0.24,-0.24,-4.05,-0.40
20,Exit short,2023-01-22 12:45,Exit Short,22850,0.004372,99.541696,-0.46,-0.46,0.2,0.20,-0.41,-0.41,-4.5,-0.45
20,Entry short,2023-01-22 11:30,Short,22768,0.004372,99.541696,-0.46,-0.46,0.2,0.20,-0.41,-0.41,-4.5,-0.45
21,Exit long,2023-01-23 13:45,Exit Long,22815,0.004344,99.460224,-0.45,-0.45,0.29,0.29,-0.4,-0.40,-4.96,-0.50
21,Entry long,2023-01-23 10:30,Long,22896,0.004344,99.460224,-0.45,-0.45,0.29,0.29,-0.4,-0.40,-4.96,-0.50
22,Exit long,2023-01-24 07:45,Mean Exit,23063,0.004305,99.47994,-0.29,-0.29,0.18,0.18,-0.46,-0.47,-5.25,-0.52
22,Entry long,2023-01-24 02:15,Long,23108,0.004305,99.47994,-0.29,-0.29,0.18,0.18,-0.46,-0.47,-5.25,-0.52
23,Exit long,2023-01-26 13:00,Exit Long,23039,0.004297,99.402501,-0.5,-0.51,0.04,0.04,-0.45,-0.46,-5.75,-0.58
23,Entry long,2023-01-26 13:00,Long,23133,0.004297,99.402501,-0.5,-0.51,0.04,0.04,-0.45,-0.46,-5.75,-0.58
24,Exit short,2023-01-27 01:30,Exit Short,22802,0.004334,99.352616,0.43,0.43,0.48,0.48,-0.24,-0.24,-5.32,-0.53
24,Entry short,2023-01-27 01:00,Short,22924,0.004334,99.352616,0.43,0.43,0.48,0.48,-0.24,-0.24,-5.32,-0.53
25,Exit long,2023-01-27 15:45,Exit Long,23003,0.0043,99.4977,-0.68,-0.69,0,0.00,-0.63,-0.64,-6.01,-0.60
25,Entry long,2023-01-27 15:45,Long,23139,0.0043,99.4977,-0.68,-0.69,0,0.00,-0.63,-0.64,-6.01,-0.60
