Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI/annum,ROI_Percent,ROI_per_annum%,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Data_Source,Paramters: Candle period
1,Stochastic_Oversold,LINK/USDT,15m,10000,10714.45,714.45,26077.31,7.14,260.77,82,61,21,74.39,Binance,15m
2,Stochastic_Oversold,AVAX/USDT,15m,10000,10379.23,379.23,13841.79,3.79,138.42,71,48,23,67.61,Binance,15m
3,Stochastic_Oversold,ETH/USDT,15m,10000,10370.18,370.18,13511.61,3.7,135.12,71,45,26,63.38,Binance,15m
4,Bollinger_MeanReversion,AVAX/USDT,15m,10000,10361.36,361.36,13189.69,3.61,131.9,24,19,5,79.17,Binance,15m
5,RSI_Trend,SOL/USDT,1h,10000,11319.04,1319.04,11742.64,13.19,117.43,39,10,29,25.64,Binance,1h
6,Stochastic_Overbought,SOL/USDT,1h,10000,11303.95,1303.95,11608.37,13.04,116.08,56,19,37,33.93,Binance,1h
7,Bollinger_MeanReversion,SOL/USDT,15m,10000,10317.15,317.15,11575.88,3.17,115.76,30,18,12,60.0,Binance,15m
8,Stochastic_Overbought,ETH/USDT,1h,10000,11137.87,1137.87,10129.84,11.38,101.3,51,16,35,31.37,Binance,1h
9,Stochastic_Overbought,LINK/USDT,1h,10000,10899.13,899.13,8004.43,8.99,80.04,52,19,33,36.54,Binance,1h
10,Bollinger_MeanReversion,LINK/USDT,15m,10000,10195.75,195.75,7144.98,1.96,71.45,26,14,12,53.85,Binance,15m
11,ATR_Breakout,ETH/USDT,1h,10000,10625.79,625.79,5571.03,6.26,55.71,35,17,18,48.57,Binance,1h
12,Momentum,SOL/USDT,1h,10000,10533.83,533.83,4752.43,5.34,47.52,57,19,38,33.33,Binance,1h
13,Volume_Spike,SOL/USDT,1h,10000,10509.71,509.71,4537.66,5.1,45.38,60,32,28,53.33,Binance,1h
14,ATR_Breakout,LINK/USDT,1h,10000,10501.81,501.81,4467.35,5.02,44.67,35,15,20,42.86,Binance,1h
15,Volume_Spike,AVAX/USDT,1h,10000,10436.49,436.49,3885.87,4.36,38.86,59,32,27,54.24,Binance,1h
16,Volume_Spike,BTC/USDT,1h,10000,10382.63,382.63,3406.31,3.83,34.06,60,34,26,56.67,Binance,1h
17,Volume_Spike,LINK/USDT,1h,10000,10381.76,381.76,3398.62,3.82,33.99,63,29,34,46.03,Binance,1h
18,Bollinger_Breakout,LINK/USDT,1h,10000,10380.66,380.66,3388.83,3.81,33.89,22,7,15,31.82,Binance,1h
19,RSI_Oversold,LINK/USDT,15m,10000,10087.8,87.8,3204.63,0.88,32.05,34,18,16,52.94,Binance,15m
20,Bollinger_Breakout,AVAX/USDT,1h,10000,10346.51,346.51,3084.75,3.47,30.85,23,8,15,34.78,Binance,1h
21,Stochastic_Overbought,AVAX/USDT,1h,10000,10327.68,327.68,2917.11,3.28,29.17,53,17,36,32.08,Binance,1h
22,RSI_Oversold,SOL/USDT,15m,10000,10076.75,76.75,2801.39,0.77,28.01,34,22,12,64.71,Binance,15m
23,Bollinger_Breakout,ETH/USDT,1h,10000,10292.11,292.11,2600.53,2.92,26.01,20,5,15,25.0,Binance,1h
24,RSI_Oversold,ETH/USDT,15m,10000,10063.47,63.47,2316.54,0.63,23.17,33,21,12,63.64,Binance,15m
25,ATR_Breakout,BTC/USDT,4h,10000,10260.71,260.71,573.26,2.61,5.73,47,27,20,57.45,Binance,4h
26,Momentum,AVAX/USDT,1h,10000,10046.15,46.15,410.82,0.46,4.11,78,23,55,29.49,Binance,1h
27,Momentum,ETH/USDT,1h,10000,10013.96,13.96,124.29,0.14,1.24,74,20,54,27.03,Binance,1h
28,RSI_Oversold,SOL/USDT,4h,10000,9947.37,-52.63,-115.73,-0.53,-1.16,40,25,15,62.5,Binance,4h
29,ATR_Breakout,SOL/USDT,1h,10000,9968.16,-31.84,-283.43,-0.32,-2.83,39,18,21,46.15,Binance,1h
30,Stochastic_Overbought,BTC/USDT,4h,10000,9851.49,-148.51,-326.55,-1.49,-3.27,55,22,33,40.0,Binance,4h
31,Volume_Spike,ETH/USDT,1h,10000,9958.49,-41.51,-369.55,-0.42,-3.7,65,29,36,44.62,Binance,1h
32,RSI_Oversold,LINK/USDT,4h,10000,9713.19,-286.81,-630.64,-2.87,-6.31,39,16,23,41.03,Binance,4h
33,Bollinger_Breakout,BTC/USDT,4h,10000,9640.02,-359.98,-791.52,-3.6,-7.92,29,11,18,37.93,Binance,4h
34,Bollinger_MeanReversion,BTC/USDT,15m,10000,9975.51,-24.49,-893.77,-0.24,-8.94,34,18,16,52.94,Binance,15m
35,Bollinger_Breakout,ETH/USDT,4h,10000,9577.98,-422.02,-927.93,-4.22,-9.28,28,8,20,28.57,Binance,4h
36,Bollinger_Breakout,SOL/USDT,1h,10000,9893.38,-106.62,-949.19,-1.07,-9.49,29,8,21,27.59,Binance,1h
37,Stochastic_Overbought,BTC/USDT,1h,10000,9884.94,-115.06,-1024.36,-1.15,-10.24,56,15,41,26.79,Binance,1h
38,Bollinger_Breakout,BTC/USDT,1h,10000,9802.09,-197.91,-1761.89,-1.98,-17.62,21,5,16,23.81,Binance,1h
39,Bollinger_Breakout,LINK/USDT,4h,10000,9181.53,-818.47,-1799.64,-8.18,-18.0,27,8,19,29.63,Binance,4h
40,ATR_Breakout,ETH/USDT,4h,10000,9176.44,-823.56,-1810.83,-8.24,-18.11,45,23,22,51.11,Binance,4h
41,Volume_Spike,ETH/USDT,4h,10000,9156.11,-843.89,-1855.53,-8.44,-18.56,63,31,32,49.21,Binance,4h
42,RSI_Oversold,BTC/USDT,4h,10000,9114.87,-885.13,-1946.21,-8.85,-19.46,36,20,16,55.56,Binance,4h
43,Bollinger_MeanReversion,AVAX/USDT,1h,10000,9780.71,-219.29,-1952.2,-2.19,-19.52,34,21,13,61.76,Binance,1h
44,Bollinger_MeanReversion,ETH/USDT,4h,10000,9056.93,-943.07,-2073.61,-9.43,-20.74,30,17,13,56.67,Binance,4h
