Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,CAGR_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Win_Rate_Adjusted,Profit_Factor,Sharpe_Ratio,Avg_Win_USD,Avg_Loss_USD,Win_Loss_Ratio,Trades_Per_Year,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,WR_Flag,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
G27 CCI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,5.96912E+12,59691222895,596912229,2546.83,0.9009,84.37,84.37,10.51,1.95,4702044179,2414791130,1.95,269.6,-92455112200,-1.68,-6.27846E+11,-10.52,0,0,0,0,HIGH_WR,STRONG,TIER_1,1,10000,5.96912E+12,2253_days,05-02-2020,08-04-2026,0.06%,1663,tv_backtester_jan_2024
G27 CCI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,1.87454E+12,18745378120,187453781.2,3125.33,0.9556,83.32,83.32,11.24,2.16,1687939418,750247289.8,2.25,266.8,-41587189000,-3.2,-1.8306E+11,-9.77,0,0,0,0,HIGH_WR,EXCEPTIONAL,TIER_1_DEPLOY,2,10000,1.87454E+12,2003_days,12-10-2020,08-04-2026,0.06%,1463,tv_backtester_jan_2024
G27 CCI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,DOT,4h,3.38489E+11,3384887696,33848876.96,2153.01,0.8564,78.84,67.01,3.51,1.48,404609021.8,429629891.7,0.94,266.6,-1.07097E+11,-24.04,-1.34904E+11,-30.28,0,0,-1.07097E+11,-24.04,,TESTING,PAPER_TRADE,3,10000,3.38489E+11,2033_days,12-09-2020,08-04-2026,0.06%,1484,tv_backtester_jan_2024
G34 Chandelier Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,2.70618E+11,2706176702,27061767.02,1506.88,0.7632,83.82,83.82,9.28,1.87,245995596.4,137373529.9,1.79,238.7,-4242256400,-1.62,-32694900111,-12.08,0,0,0,0,HIGH_WR,STRONG,TIER_1,4,10000,2.70618E+11,2251_days,07-02-2020,08-04-2026,0.06%,1471,tv_backtester_jan_2024
G27 CCI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,1.76049E+11,1760494731,17604947.31,1308.12,0.7267,83.85,83.85,9.93,1.81,149664933.6,78223253.89,1.91,247.3,-2560275500,-3.2,-19712259980,-11.2,0,0,0,0,HIGH_WR,STRONG,TIER_1,5,10000,1.76049E+11,2304_days,16-12-2019,08-04-2026,0.06%,1560,tv_backtester_jan_2024
G27 CCI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,ADA,4h,46510845493,465108454.9,4651084.549,1123.73,0.688,71.28,71.28,6.24,1.79,51183206.83,20342624.53,2.52,247.6,-2731263948,-5.77,-8869384296,-18.28,-4428.2,-44.28,-2018432558,-4.16,,PROMISING,TIER_2,6,10000,46510855493,2239_days,20-02-2020,08-04-2026,0.06%,1518,tv_backtester_jan_2024
G27 CCI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,LTC,4h,43956613997,439566140,4395661.4,1089.92,0.6803,82.44,82.44,9.14,2.13,41546317.05,21345496.67,2.52,233.3,-507722240,-1.6,-5400410657,-12.29,0,0,0,0,HIGH_WR,STRONG,TIER_1,7,10000,43956623997,2256_days,28-01-2020,02-04-2026,0.06%,1441,tv_backtester_jan_2024
G34 Chandelier Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,27143235047,271432350.5,2714323.505,1390,0.7423,81.34,81.34,10.55,2.16,28422264.51,11744851.27,2.42,236.5,-641699340,-3.2,-2842254008,-10.47,0,0,0,0,HIGH_WR,STRONG,TIER_1,8,10000,27143245047,2003_days,12-10-2020,08-04-2026,0.06%,1297,tv_backtester_jan_2024
G30 ADX DI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,20622645817,206226458.2,2062264.582,956,0.6474,83.21,83.21,9.43,1.97,22054923.6,11596228.78,1.9,203.8,-336148625,-1.68,-2446804273,-11.86,0,0,0,0,HIGH_WR,STRONG,TIER_1,9,10000,20622655817,2253_days,05-02-2020,08-04-2026,0.06%,1257,tv_backtester_jan_2024
G34 Chandelier Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,19636775292,196367752.9,1963677.529,894.56,0.6309,83.69,83.69,10.89,2.11,18078733.81,8520988.61,2.12,226.5,-291757500,-1.79,-1985390345,-10.11,0,0,0,0,HIGH_WR,STRONG,TIER_1,10,10000,19636785292,2304_days,16-12-2019,08-04-2026,0.06%,1429,tv_backtester_jan_2024
