Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,CAGR_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Win_Rate_Adjusted,Profit_Factor,Sharpe_Ratio,Avg_Win_USD,Avg_Loss_USD,Win_Loss_Ratio,Trades_Per_Year,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,WR_Flag,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
G27 CCI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,1.87454E+12,18745378120,187453781.2,3125.33,0.9556,83.32,83.32,11.24,2.16,1687939418,750247289.8,2.25,266.8,-41587189000,-3.2,-1.8306E+11,-9.77,0,0,0,0,HIGH_WR,EXCEPTIONAL,TIER_1_DEPLOY,1,10000,1.87454E+12,2003_days,12-10-2020,08-04-2026,0.06%,1463,tv_backtester_jan_2024
G27 CCI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,DOT,4h,3.38489E+11,3384887696,33848876.96,2153.01,0.8564,78.84,67.01,3.51,1.48,404609021.8,429629891.7,0.94,266.6,-1.07097E+11,-24.04,-1.34904E+11,-30.28,0,0,-1.07097E+11,-24.04,,TESTING,PAPER_TRADE,2,10000,3.38489E+11,2033_days,12-09-2020,08-04-2026,0.06%,1484,tv_backtester_jan_2024
G27 CCI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,1.76049E+11,1760494731,17604947.31,1308.12,0.7267,83.85,83.85,9.93,1.81,149664933.6,78223253.89,1.91,247.3,-2560275500,-3.2,-19712259980,-11.2,0,0,0,0,HIGH_WR,STRONG,TIER_1,3,10000,1.76049E+11,2304_days,16-12-2019,08-04-2026,0.06%,1560,tv_backtester_jan_2024
G28 Donchian Short14 [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,2861074647,28610746.47,286107.4647,889.7,0.6296,81.61,81.61,10.31,1.99,3758425.99,1617255.07,2.32,188.5,-73005276,-3.2,-307278463,-10.74,0,0,0,0,HIGH_WR,STRONG,TIER_1,4,10000,2861084647,2002_days,12-10-2020,07-04-2026,0.06%,1033,tv_backtester_jan_2024
G26 Donchian ADX Aggro [Webhook] BINANCEUSDT.P 2026-04-08,DOT,4h,2687324177,26873241.77,268732.4177,847.1,0.6174,77.55,77.55,4.05,1.38,4512036.74,3850204.73,1.17,183.4,-718561726.9,-21.1,-881696883.9,-25.89,0,0,-718561726.9,-21.1,,TESTING,PAPER_TRADE,5,10000,2687334177,2031_days,12-09-2020,06-04-2026,0.06%,1020,tv_backtester_jan_2024
G26 Donchian ADX Aggro [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,2258320781,22583207.81,225832.0781,605.88,0.5365,85.2,85.2,17.79,2.1,2474478.29,800593.63,3.09,179.9,-35503918.2,-1.73,-134499729.2,-5.96,0,0,0,0,HIGH_WR,EXCEPTIONAL,TIER_1_DEPLOY,6,10000,2258330781,2304_days,16-12-2019,08-04-2026,0.06%,1135,tv_backtester_jan_2024
G26 Donchian ADX Aggro [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,2221751401,22217514.01,222175.1401,845.07,0.6168,80.62,80.62,9.28,2.02,3007447.99,1348821.79,2.23,187.4,-62245666,-3.2,-268415536.2,-12.08,0,0,0,0,HIGH_WR,STRONG,TIER_1,7,10000,2221761401,2002_days,12-10-2020,07-04-2026,0.06%,1027,tv_backtester_jan_2024
G28 Donchian Short14 [Webhook] BINANCEUSDT.P 2026-04-08,DOT,4h,2081643837,20816438.37,208164.3837,808.52,0.606,78.42,78.42,4.4,1.66,3401439.8,2808699.47,1.21,182,-468456875.9,-18.37,-612296485.3,-24.01,0,0,-468456875.9,-18.37,,PROMISING,TIER_2,8,10000,2081653837,2027_days,12-09-2020,02-04-2026,0.06%,1010,tv_backtester_jan_2024
G28 Donchian Short14 [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,1958655256,19586552.56,195865.5256,590.12,0.5303,84.96,84.96,17.43,2.11,2164432.81,701177.89,3.09,179.1,-28716868,-1.61,-119200241.6,-6.09,0,0,0,0,HIGH_WR,EXCEPTIONAL,TIER_1_DEPLOY,9,10000,1958665256,2304_days,16-12-2019,08-04-2026,0.06%,1130,tv_backtester_jan_2024
G25 CCI Pure HighTP [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,1033434528,10334345.28,103343.4528,721.04,0.5781,84.55,84.55,15.49,2.44,1710167.35,604521.84,2.83,139.3,-15022685,-1.62,-71333577.42,-6.9,0,0,0,0,HIGH_WR,EXCEPTIONAL,TIER_1_DEPLOY,10,10000,1033444528,2003_days,12-10-2020,08-04-2026,0.06%,764,tv_backtester_jan_2024
