Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,CAGR_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Win_Rate_Adjusted,Profit_Factor,Sharpe_Ratio,Avg_Win_USD,Avg_Loss_USD,Win_Loss_Ratio,Trades_Per_Year,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,WR_Flag,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
10 VWAP Mean Reversion Pivot BINANCEUSDT.P 2026-04-06,BTC,4h,2476.88,24.77,0.2477,3.79,0.0102,92.86,92.86,139.76,1.48,95.95,8.93,10.75,4.7,-2.38,-0.02,-17.85,-0.14,-15.47,-0.15,0.0,0.0,LOW_SAMPLE,WEAK,LOW_TRADES,53,10000,12476.88,2170_days,23-03-2020,02-03-2026,0.06%,28,tv_backtester_jan_2024
5 Ichimoku Twin Confirm BINANCEUSDT.P 2026-04-06,ETH,4h,11117.77,111.18,1.1118,12.88,0.0332,84.62,84.62,32.58,1.72,208.54,35.2,5.92,10.5,-239.66,-2.09,-352.04,-1.67,0.0,0.0,0.0,0.0,HIGH_WR,WEAK,IGNORE,45,10000,21117.77,2254_days,27-01-2020,30-03-2026,0.06%,65,tv_backtester_jan_2024
1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,AVAX,4h,8808877392.0,88088773.92,880887.7392,1112.06,0.6854,87.36,87.36,19.32,2.62,9336271.04,3338279.81,2.8,207.6,-163457900.0,-2.1,-480712293.0,-5.46,-16.45,-0.16,0.0,0.0,HIGH_WR,EXCEPTIONAL,TIER_1_DEPLOY,3,10000,8808887392.0,2004_days,06-10-2020,02-04-2026,0.06%,1139,tv_backtester_jan_2024
G19 Donchian Volume Surge [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,25814538.08,258145.38,2581.4538,247.46,0.3416,84.98,84.98,18.97,2.09,45876.69,13678.23,3.35,110.8,-394294.56,-1.61,-1436213.82,-5.56,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,29,10000,25824538.08,2304_days,16-12-2019,08-04-2026,0.06%,699,tv_backtester_jan_2024
G26 Donchian ADX Aggro [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,2258320781.0,22583207.81,225832.0781,605.88,0.5365,85.2,85.2,17.79,2.1,2474478.29,800593.63,3.09,179.9,-35503918.2,-1.73,-134499729.2,-5.96,0.0,0.0,0.0,0.0,HIGH_WR,EXCEPTIONAL,TIER_1_DEPLOY,6,10000,2258330781.0,2304_days,16-12-2019,08-04-2026,0.06%,1135,tv_backtester_jan_2024
G28 Donchian Short14 [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,1958655256.0,19586552.56,195865.5256,590.12,0.5303,84.96,84.96,17.43,2.11,2164432.81,701177.89,3.09,179.1,-28716868.0,-1.61,-119200241.6,-6.09,0.0,0.0,0.0,0.0,HIGH_WR,EXCEPTIONAL,TIER_1_DEPLOY,9,10000,1958665256.0,2304_days,16-12-2019,08-04-2026,0.06%,1130,tv_backtester_jan_2024
1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,LINK,4h,840000000000.0,8402473294.0,84024732.94,1806.06,0.8103,88.9,88.9,16.62,2.53,729832584.0,351618209.4,2.08,222.6,-11543393000.0,-2.09,-53797586031.0,-6.4,0.0,0.0,0.0,0.0,HIGH_WR,EXCEPTIONAL,TIER_1_DEPLOY,1,10000,840000000000.0,2261_days,23-01-2020,02-04-2026,0.06%,1378,tv_backtester_jan_2024
5 Ichimoku Twin Confirm BINANCEUSDT.P 2026-04-06,BNB,4h,5899.93,59.0,0.59,7.9,0.0208,82.46,82.46,15.91,1.51,133.95,39.56,3.39,9.3,-289.91,-2.09,-395.6,-2.49,-16.71,-0.17,-4.76,-0.03,HIGH_WR,WEAK,IGNORE,47,10000,15899.93,2227_days,25-02-2020,01-04-2026,0.06%,57,tv_backtester_jan_2024
G23 Donchian CCI Lite [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,157841784.3,1578417.84,15784.1784,362.96,0.4204,84.32,84.32,15.85,2.03,222261.57,75407.68,2.95,142.5,-2373586.2,-1.61,-10632483.06,-6.74,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,13,10000,157851784.3,2304_days,16-12-2019,08-04-2026,0.06%,899,tv_backtester_jan_2024
5 Ichimoku Twin Confirm BINANCEUSDT.P 2026-04-06,BTC,4h,5257.02,52.57,0.5257,7.08,0.0187,81.16,81.16,15.73,1.51,100.25,27.45,3.65,11.2,-212.51,-2.09,-356.79,-2.34,-26.36,-0.26,0.0,0.0,HIGH_WR,WEAK,IGNORE,48,10000,15257.02,2255_days,27-01-2020,31-03-2026,0.06%,69,tv_backtester_jan_2024
