Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,ROI_Annual_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
Donchian Trend BINANCEUSDT.P 2026-04-03,SUI,4h,5057974.36,50579.74,505.7974,785.55,2.1522,84.66,9.86,2.74,-76060.3,-1.62,-571146.8,-11.27,0,0,0,0,STRONG,TIER_1,22,10000,5067974.36,1043_days,24-05-2023,01-04-2026,0.06%,378,tv_backtester_jan_2024
Donchian Trend BINANCEUSDT 2026-04-03,LDO,4h,20791873.69,207918.74,2079.1874,638.16,1.7484,82.85,6.17,2.46,-327560.38,-1.64,-4021727.59,-19.33,0,0,0,0,PROMISING,TIER_2,14,10000,20801873.69,1396_days,01-06-2022,28-03-2026,0.06%,519,tv_backtester_jan_2024
Donchian Trend BINANCEUSDT.P 2026-04-03,LDO,4h,8663578.1,86635.78,866.3578,608.56,1.6673,83.97,7.68,2.61,-133531.31,-1.61,-1296458.86,-14.95,0,0,0,0,STRONG,TIER_1,21,10000,8673578.1,1262_days,13-10-2022,28-03-2026,0.06%,468,tv_backtester_jan_2024
CCI Trend BINANCEUSDT 2026-04-03,LDO,4h,11064520.06,110645.2,1106.452,519.41,1.423,82.61,10.67,3.02,-147730.33,-2.75,-1144494.96,-10.33,0,0,0,0,STRONG,TIER_1,18,10000,11074520.06,1404_days,30-05-2022,03-04-2026,0.06%,529,tv_backtester_jan_2024
Donchian Trend BINANCEUSDT 2026-04-03,DOT,4h,185815832.1,1858158.32,18581.5832,487.84,1.3366,80.29,5.4,1.81,-30540706.96,-14.12,-42207512.02,-19.51,-5.01,-0.05,-30540706.96,-14.12,PROMISING,TIER_2,5,10000,185825832.1,2027_days,12-09-2020,02-04-2026,0.06%,766,tv_backtester_jan_2024
Donchian Trend BINANCEUSDT.P 2026-04-03,AVAX,4h,153277772.2,1532777.72,15327.7772,483.32,1.3242,80.79,8.37,2.2,-4588173.2,-3.2,-20788031.18,-13.55,0,0,-104304.13,-0.07,STRONG,TIER_1,7,10000,153287772.2,1996_days,12-10-2020,01-04-2026,0.06%,807,tv_backtester_jan_2024
Donchian Trend BINANCEUSDT.P 2026-04-03,LINK,4h,471108926.3,4711089.26,47110.8926,475.83,1.3036,83.66,8.03,1.77,-7705449,-1.62,-67005629.95,-14.11,0,0,-3789569.97,-0.8,STRONG,TIER_1,4,10000,471118926.3,2245_days,07-02-2020,01-04-2026,0.06%,875,tv_backtester_jan_2024
Donchian Trend BINANCEUSDT.P 2026-04-03,DOT,4h,159790785.4,1597907.85,15979.0785,472.08,1.2934,79.65,5.69,1.85,-26671211.06,-14.3,-34043801.63,-18.26,0,0,-26671211.06,-14.3,PROMISING,TIER_2,6,10000,159800785.4,2027_days,12-09-2020,02-04-2026,0.06%,752,tv_backtester_jan_2024
Donchian Trend BINANCEUSDT 2026-04-03,ETH,4h,17091006794,170910067.9,1709100.679,435.74,1.1938,83.21,12.05,2.04,-258634060,-1.61,-1546218547,-9.05,-161.43,-1.61,0,0,STRONG,TIER_1,1,10000,17091016794,3123_days,12-09-2017,01-04-2026,0.06%,1263,tv_backtester_jan_2024
CCI Trend BINANCEUSDT.P 2026-04-03,DOT,4h,84524856.15,845248.56,8452.4856,410.06,1.1235,79.12,6.94,2.7,-7672321.73,-8.32,-14237479.79,-15.44,0,0,-7672321.73,-8.32,PROMISING,TIER_2,9,10000,84534856.15,2027_days,12-09-2020,02-04-2026,0.06%,814,tv_backtester_jan_2024
