source_file,strategy_display,strategy,asset,timeframe,annualization_metric,annualized_return_pct,roi_per_day_pct,win_rate_percent,profit_factor,gross_drawdown_percent,total_trades,deployment_status,time_period_checked,time_start,time_end,fees_exchange,data_source,status_group,credibility_score,flags,eligible_for_paper,promotion_gate,oos_status,paper_trade_recommendation
combo_strategy_results_good.csv,Donchian Trend BINANCEUSDT 2026-04-03,Donchian Trend,ETH,4h,ROI_Annual_Percent,435.74,1.1938,83.21,12.05,9.05,1263,TIER_1,3123_days,12-09-2017,01-04-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,113.68,,True,BLOCKED_PENDING_OOS,PENDING_WALK_FORWARD,YES
combo_strategy_results_good.csv,Donchian Trend BINANCEUSDT.P 2026-04-03,Donchian Trend,SUI,4h,ROI_Annual_Percent,785.55,2.1522,84.66,9.86,11.27,378,TIER_1,1043_days,24-05-2023,01-04-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,109.63,,True,BLOCKED_PENDING_OOS,PENDING_WALK_FORWARD,YES
combo_strategy_results_good.csv,Donchian Trend BINANCEUSDT.P 2026-04-03,Donchian Trend,ETH,4h,ROI_Annual_Percent,348.7,0.9553,84.19,15.25,7.02,898,TIER_1,2297_days,16-12-2019,01-04-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,108.76,,True,BLOCKED_PENDING_OOS,PENDING_WALK_FORWARD,YES
combo_strategy_results_good.csv,CCI Trend BINANCEUSDT 2026-04-03,CCI Trend,LDO,4h,ROI_Annual_Percent,519.41,1.423,82.61,10.67,10.33,529,TIER_1,1404_days,30-05-2022,03-04-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,105.51,,True,BLOCKED_PENDING_OOS,PENDING_WALK_FORWARD,YES
combo_strategy_results_good.csv,CCI Trend BINANCEUSDT 2026-04-03,CCI Trend,ETH,4h,ROI_Annual_Percent,294.25,0.8062,81.7,9.07,12.39,1082,TIER_1,3126_days,08-09-2017,31-03-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,101.87,,True,BLOCKED_PENDING_OOS,PENDING_WALK_FORWARD,YES
combo_strategy_results_good.csv,Donchian Trend BINANCEUSDT.P 2026-04-03,Donchian Trend,AVAX,4h,ROI_Annual_Percent,483.32,1.3242,80.79,8.37,13.55,807,TIER_1,1996_days,12-10-2020,01-04-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,100.7,,True,BLOCKED_PENDING_OOS,PENDING_WALK_FORWARD,YES
combo_strategy_results_good.csv,Donchian Trend BINANCEUSDT.P 2026-04-03,Donchian Trend,LINK,4h,ROI_Annual_Percent,475.83,1.3036,83.66,8.03,14.11,875,TIER_1,2245_days,07-02-2020,01-04-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,99.94,,True,BLOCKED_PENDING_OOS,PENDING_WALK_FORWARD,YES
combo_strategy_results_good.csv,Donchian Trend BINANCEUSDT.P 2026-04-03,Donchian Trend,ADA,4h,ROI_Annual_Percent,329.05,0.9015,74.31,8.98,12.49,829,TIER_1,2224_days,25-02-2020,29-03-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,99.34,,True,BLOCKED_PENDING_OOS,PENDING_WALK_FORWARD,YES
combo_strategy_results_good.csv,Donchian Trend BINANCEUSDT.P 2026-04-03,Donchian Trend,LDO,4h,ROI_Annual_Percent,608.56,1.6673,83.97,7.68,14.95,468,TIER_1,1262_days,13-10-2022,28-03-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,96.77,,True,BLOCKED_PENDING_OOS,PENDING_WALK_FORWARD,YES
combo_strategy_results_cagr.csv,1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,1 Aroon Oscillator Fusion,LINK,4h,CAGR_Percent,1806.06,0.8103,88.9,16.62,6.4,1378,TIER_1_DEPLOY,2261_days,23-01-2020,02-04-2026,0.06%,tv_backtester_jan_2024,LIVE_LIKE,108.93,"EXTREME_ANNUALIZED,SCREENING_ONLY_SOURCE",False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr2.csv,1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,1 Aroon Oscillator Fusion,LINK,4h,CAGR_Percent,1806.06,0.8103,88.9,16.62,6.4,1378,TIER_1_DEPLOY,2261_days,23-01-2020,02-04-2026,0.06%,tv_backtester_jan_2024,LIVE_LIKE,108.93,"EXTREME_ANNUALIZED,SCREENING_ONLY_SOURCE",False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Donchian Trend BINANCEUSDT 2026-04-03,Donchian Trend,BTC,4h,ROI_Annual_Percent,271.11,0.7428,82.13,10.16,10.92,1237,TIER_1,3127_days,07-09-2017,01-04-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,106.97,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr.csv,1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,1 Aroon Oscillator Fusion,AVAX,4h,CAGR_Percent,1112.06,0.6854,87.36,19.32,5.46,1139,TIER_1_DEPLOY,2004_days,06-10-2020,02-04-2026,0.06%,tv_backtester_jan_2024,LIVE_LIKE,105.63,"EXTREME_ANNUALIZED,SCREENING_ONLY_SOURCE",False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr2.csv,1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,1 Aroon Oscillator Fusion,AVAX,4h,CAGR_Percent,1112.06,0.6854,87.36,19.32,5.46,1139,TIER_1_DEPLOY,2004_days,06-10-2020,02-04-2026,0.06%,tv_backtester_jan_2024,LIVE_LIKE,105.63,"EXTREME_ANNUALIZED,SCREENING_ONLY_SOURCE",False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr.csv,1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,1 Aroon Oscillator Fusion,SOL,4h,CAGR_Percent,767.93,0.5934,76.9,13.97,7.71,1182,TIER_1_DEPLOY,2018_days,21-09-2020,02-04-2026,0.06%,tv_backtester_jan_2024,LIVE_LIKE,103.0,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr2.csv,1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,1 Aroon Oscillator Fusion,SOL,4h,CAGR_Percent,767.93,0.5934,76.9,13.97,7.71,1182,TIER_1_DEPLOY,2018_days,21-09-2020,02-04-2026,0.06%,tv_backtester_jan_2024,LIVE_LIKE,103.0,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr.csv,1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,1 Aroon Oscillator Fusion,ETH,4h,CAGR_Percent,681.09,0.5644,87.95,12.13,8.89,1295,TIER_1_DEPLOY,2313_days,01-12-2019,02-04-2026,0.06%,tv_backtester_jan_2024,LIVE_LIKE,102.94,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr2.csv,1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,1 Aroon Oscillator Fusion,ETH,4h,CAGR_Percent,681.09,0.5644,87.95,12.13,8.89,1295,TIER_1_DEPLOY,2313_days,01-12-2019,02-04-2026,0.06%,tv_backtester_jan_2024,LIVE_LIKE,102.94,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Donchian Trend BINANCEUSDT.P 2026-04-03,Donchian Trend,BTC,4h,ROI_Annual_Percent,223.87,0.6133,81.52,11.88,9.18,871,TIER_1,2375_days,30-09-2019,01-04-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,102.84,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Donchian Trend BINANCEUSDT.P 2026-04-03,Donchian Trend,XRP,4h,ROI_Annual_Percent,221.77,0.6076,71.95,9.88,11.25,688,TIER_1,2253_days,27-01-2020,29-03-2026,0.06%,tv_backtester_jan_2024,PAPER_STRONG,98.13,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,CCI Trend BINANCEUSDT 2026-04-03,CCI Trend,BTC,4h,ROI_Annual_Percent,177.22,0.4855,80.66,13.68,7.88,1091,TIER_2,3121_days,06-09-2017,25-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,95.61,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr.csv,1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,1 Aroon Oscillator Fusion,MAGIC,4h,CAGR_Percent,942.11,0.6438,87.71,12.03,9.06,537,TIER_1_DEPLOY,1156_days,01-02-2023,02-04-2026,0.06%,tv_backtester_jan_2024,LIVE_LIKE,94.09,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr2.csv,1 Aroon Oscillator Fusion BINANCEUSDT.P 2026-04-06,1 Aroon Oscillator Fusion,MAGIC,4h,CAGR_Percent,942.11,0.6438,87.71,12.03,9.06,537,TIER_1_DEPLOY,1156_days,01-02-2023,02-04-2026,0.06%,tv_backtester_jan_2024,LIVE_LIKE,94.09,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Donchian Trend BINANCEUSDT 2026-04-03,Donchian Trend,BNB,4h,ROI_Annual_Percent,133.54,0.3659,56.69,11.23,9.75,1136,TIER_2,3050_days,25-11-2017,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,93.11,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,KC Breakout BINANCEUSDT 2026-04-03,KC Breakout,ETH,4h,ROI_Annual_Percent,152.27,0.4172,83.65,25.53,4.07,624,TIER_2,3125_days,05-09-2017,27-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,92.9,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,HA Trend BINANCEUSDT.P 2026-04-03,HA Trend,XRP,4h,ROI_Annual_Percent,117.03,0.3206,70.97,22.0,4.72,620,TIER_2,2258_days,25-01-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,91.24,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,HA Trend BINANCEUSDT 2026-04-03,HA Trend,ETH,4h,ROI_Annual_Percent,127.02,0.348,83.23,13.79,7.81,835,TIER_2,3129_days,07-09-2017,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,91.11,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,HA Trend BINANCEUSDT.P 2026-04-03,HA Trend,AVAX,4h,ROI_Annual_Percent,168.04,0.4604,83.64,19.96,5.25,489,TIER_2,1992_days,15-10-2020,30-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,90.47,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,HA Trend BINANCEUSDT.P 2026-04-03,HA Trend,LINK,4h,ROI_Annual_Percent,168.25,0.461,81.85,14.5,7.39,584,TIER_2,2240_days,10-02-2020,30-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,89.52,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,HA Trend BINANCEUSDT.P 2026-04-03,HA Trend,ETH,4h,ROI_Annual_Percent,120.74,0.3308,83.01,14.04,7.61,624,TIER_2,2299_days,16-12-2019,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,88.5,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,ADX DI Cross BINANCEUSDT 2026-04-03,ADX DI Cross,ETH,4h,ROI_Annual_Percent,52.75,0.1445,85.37,18.35,5.61,376,TIER_2,3118_days,18-09-2017,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,85.53,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Momentum V2 BINANCEUSDT.P 2026-04-03,Momentum V2,SUI,4h,ROI_Annual_Percent,89.19,0.2444,85.71,23.12,3.77,147,TIER_2,1026_days,30-05-2023,22-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,85.51,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,HA Trend BINANCEUSDT.P 2026-04-03,HA Trend,BTC,4h,ROI_Annual_Percent,79.33,0.2173,76.51,10.51,10.27,630,TIER_2,2375_days,28-09-2019,30-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,84.78,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,HA Trend BINANCEUSDT.P 2026-04-03,HA Trend,ADA,4h,ROI_Annual_Percent,101.47,0.278,69.35,10.58,10.04,558,TIER_2,2233_days,19-02-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,84.72,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Momentum V2 BINANCEUSDT.P 2026-04-03,Momentum V2,LINK,4h,ROI_Annual_Percent,85.16,0.2333,83.69,14.87,7.02,325,TIER_2,2247_days,05-02-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,84.38,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,HA Trend BINANCEUSDT.P 2026-04-03,HA Trend,LDO,4h,ROI_Annual_Percent,171.76,0.4706,85.17,11.01,9.68,317,TIER_2,1266_days,14-10-2022,03-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,83.99,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Engulfing V2 BINANCEUSDT.P 2026-04-03,Engulfing V2,AVAX,4h,ROI_Annual_Percent,53.62,0.1469,86.88,20.42,4.63,160,TIER_2,1949_days,12-10-2020,12-02-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,83.84,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Aroon Trend BINANCEUSDT 2026-04-03,Aroon Trend,BTC,4h,ROI_Annual_Percent,53.06,0.1454,81.53,11.25,9.5,536,TIER_2,3130_days,06-09-2017,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,83.65,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Momentum V2 BINANCEUSDT.P 2026-04-03,Momentum V2,AVAX,4h,ROI_Annual_Percent,82.11,0.225,84.73,14.78,6.94,262,TIER_2,1998_days,12-10-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,83.59,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Aroon Trend BINANCEUSDT 2026-04-03,Aroon Trend,ETH,4h,ROI_Annual_Percent,73.12,0.2003,81.59,10.71,10.21,516,TIER_2,3130_days,07-09-2017,03-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,83.24,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,HA Trend BINANCEUSDT 2026-04-03,HA Trend,BTC,4h,ROI_Annual_Percent,75.95,0.2081,76.0,9.17,12.13,825,TIER_2,3124_days,09-09-2017,30-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,83.19,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,TRIX Signal BINANCEUSDT 2026-04-03,TRIX Signal,LDO,4h,ROI_Annual_Percent,66.27,0.1816,85.37,17.28,5.26,123,TIER_2,1396_days,01-06-2022,28-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,83.09,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,6 BB Squeeze V2 BINANCEUSDT 2026-04-03,6 BB Squeeze V2,LDO,4h,ROI_Annual_Percent,65.68,0.1799,86.67,16.77,5.42,135,TIER_2,1392_days,30-05-2022,22-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,83.07,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Momentum V2 BINANCEUSDT 2026-04-03,Momentum V2,ETH,4h,ROI_Annual_Percent,61.65,0.1689,80.09,11.38,9.47,457,TIER_2,3127_days,08-09-2017,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,82.93,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Momentum V2 BINANCEUSDT 2026-04-03,Momentum V2,DOT,4h,ROI_Annual_Percent,70.26,0.1925,79.64,12.66,7.87,280,TIER_2,2031_days,08-09-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,82.55,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,6 BB Squeeze V2 BINANCEUSDT 2026-04-03,6 BB Squeeze V2,ETH,4h,ROI_Annual_Percent,51.3,0.1405,80.88,13.23,7.94,319,TIER_2,3124_days,08-09-2017,30-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,82.45,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
