Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
1,Breakout_Retest_Pro,ADAUSDT,4h,10000,13292.86,3292.86,32.93,32.93,32.93,65,25,40,38.46,1.43,3.88,0.55,11.34,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
2,MACD_BB_Stochastic_ADX,ADAUSDT,4h,10000,13184.37,3184.37,31.84,31.84,31.84,15,7,8,46.67,2.9,5.66,2.12,6.53,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
3,MACD_Histogram_Trade,ADAUSDT,4h,10000,13152.08,3152.08,31.52,31.52,31.52,67,26,41,38.81,1.4,3.84,0.52,11.34,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
4,Breakout_Hunter,ADAUSDT,1h,10000,13030.01,3030.01,30.3,30.3,30.3,39,12,27,30.77,1.78,4.12,0.81,12.04,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
5,Breakout_Momentum,ADAUSDT,1h,10000,12369.01,2369.01,23.69,23.69,23.69,35,12,23,34.29,1.59,4.39,0.75,17.16,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
6,Aggressive_Entry,ADAUSDT,1h,10000,12260.5,2260.5,22.61,22.61,22.61,30,11,19,36.67,1.67,4.2,0.82,11.8,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
7,ADX_Stochastic_VWAP,ADAUSDT,4h,10000,12160.86,2160.86,21.61,21.61,21.61,17,9,8,52.94,1.85,5.59,1.38,13.37,A,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
8,VWAP_Break_Entry,ADAUSDT,4h,10000,12068.04,2068.04,20.68,20.68,20.68,35,16,19,45.71,1.44,4.22,0.67,13.6,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
9,Breakout_Pullback,ADAUSDT,4h,10000,12007.17,2007.17,20.07,20.07,20.07,61,26,35,42.62,1.26,4.66,0.44,19.77,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
10,MACD_Breakout,ADAUSDT,1h,10000,11779.32,1779.32,17.79,17.79,17.79,28,11,17,39.29,1.54,4.16,0.72,13.81,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
