Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
1,Breakout_Volume_ADX,ETHUSDT,4h,10000,19428.14,9428.14,94.28,94.28,94.28,78,21,57,26.92,1.29,7.35,1.24,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.02, TP:0.12, TS:0.02",4h
2,Momentum_Trade,ETHUSDT,15m,10000,18550.6,8550.6,85.51,85.51,85.51,68,14,54,20.59,1.46,8.75,1.38,B+,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",15m
3,MACD_Trend_Strength,ETHUSDT,1h,10000,18343.03,8343.03,83.43,83.43,83.43,103,27,76,26.21,1.24,5.9,0.88,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",1h
4,Volume_Trend_ADX,ETHUSDT,1h,10000,18343.03,8343.03,83.43,83.43,83.43,103,27,76,26.21,1.24,5.9,0.88,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",1h
5,Aggressive_Entry,ETHUSDT,1h,10000,17961.64,7961.64,79.62,79.62,79.62,136,33,103,24.26,1.19,5.76,0.71,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",1h
6,MACD_BB_Stochastic_ADX,ETHUSDT,15m,10000,17576.48,7576.48,75.76,75.76,75.76,71,13,58,18.31,1.39,8.21,1.21,B+,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",15m
7,MACD_Breakout,ETHUSDT,1h,10000,17560.75,7560.75,75.61,75.61,75.61,108,25,83,23.15,1.2,6.67,0.85,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.02, TP:0.12, TS:0.02",1h
8,Volume_Stochastic_MACD_ADX,ETHUSDT,15m,10000,17557.46,7557.46,75.57,75.57,75.57,61,12,49,19.67,1.35,10.05,1.49,B+,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.02, TP:0.12, TS:0.02",15m
9,Breakout_Momentum,ETHUSDT,1h,10000,16600.17,6600.17,66,66,66,116,26,90,22.41,1.16,6.56,0.75,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.02, TP:0.12, TS:0.02",1h
10,Breakout_Momentum,ETHUSDT,1h,10000,16558.89,6558.89,65.59,65.59,65.59,116,26,90,22.41,1.16,6.56,0.75,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.02, TP:0.12, TS:0.02",1h
11,EMA_Break_Momentum,ETHUSDT,1h,10000,16512.08,6512.08,65.12,65.12,65.12,128,31,97,24.22,1.17,5.84,0.67,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",1h
12,Mega_Confirmation,ETHUSDT,15m,10000,16486.82,6486.82,64.87,64.87,64.87,45,8,37,17.78,1.33,13.26,1.96,B+,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.025, TP:0.15, TS:0.025",15m
13,Momentum_Trade,ETHUSDT,1h,10000,16392.87,6392.87,63.93,63.93,63.93,107,26,81,24.3,1.28,5.07,0.7,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
14,Volume_Stochastic_MACD_ADX,BNBUSDT,4h,10000,16346.55,6346.55,63.47,63.47,63.47,28,9,19,32.14,1.9,7.49,2.22,B+,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.02, TP:0.12, TS:0.02",4h
15,Volume_Trend_ADX,ETHUSDT,15m,10000,16181.44,6181.44,61.81,61.81,61.81,65,14,51,21.54,1.3,9.19,1.24,B+,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",15m
16,MACD_Trend_Strength,ETHUSDT,15m,10000,16181.44,6181.44,61.81,61.81,61.81,65,14,51,21.54,1.3,9.19,1.24,B+,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",15m
