Strategy,Asset,ROI%/yr,Daily%,WR%,PF,Sharpe,GDD%,NDD%,Trades,Tier
38_Cloud_Momentum,ETH,18.05,0.0795,41.85,1.42,4.01,27.87,0.0,368,---
44_PSAR_Volume_Surge,ETH,20.82,0.0987,41.43,1.33,3.68,29.86,2.07,391,---
49_PSAR_Flip_Ichi,ETH,10.56,0.0382,35.53,1.08,3.36,39.84,14.46,805,---
40_Keltner_Ichi_PSAR,ETH,1.58,0.0045,36.02,1.01,3.23,43.76,16.6,994,---
47_Cloud_Break_Volume,ETH,16.59,0.0703,42.62,1.48,3.18,30.4,0.0,244,---
50_Ultimate_Alpha,BNB,-10.76,-0.0223,36.25,0.96,3.0,76.14,51.6,1669,---
32_Micro_Trend_B,ETH,-14.94,-0.0279,37.99,0.94,2.99,88.0,66.28,1490,---
41_Momentum_Burst_Pro,ETH,6.03,0.0193,35.31,1.03,2.95,63.6,17.04,997,---
50_Ultimate_Alpha,BTC,-10.54,-0.022,34.16,0.95,2.93,75.79,52.68,1376,---
36_Ichi_Super_Combo,ETH,-0.78,-0.0021,35.58,0.99,2.92,53.27,19.6,992,---
45_DI_Crossover_Pro,ETH,6.52,0.0212,35.06,1.04,2.88,37.66,10.13,810,---
41_Momentum_Burst_Pro,BNB,5.95,0.019,34.55,1.03,2.8,65.96,40.44,987,---
35_Precision_Entry,BNB,-31.72,-0.0399,38.64,0.91,2.7,94.9,90.78,2272,---
48_Supertrend_Flip_Pro,BNB,-3.24,-0.0082,34.2,0.98,2.43,69.79,43.58,1035,---
44_PSAR_Volume_Surge,BTC,4.59,0.0142,35.45,1.08,2.37,25.69,2.2,378,---
36_Ichi_Super_Combo,BTC,-8.38,-0.0185,33.89,0.93,2.32,55.98,44.24,903,---
46_EMA_Stack_Full,BTC,-10.21,-0.0215,33.3,0.92,2.29,63.03,50.83,1009,---
49_PSAR_Flip_Ichi,BNB,-0.85,-0.0023,33.37,0.99,2.25,51.83,39.03,812,---
45_DI_Crossover_Pro,BNB,0.86,0.0024,33.38,1.01,2.25,48.27,42.87,788,---
33_Micro_Trend_C,BNB,-20.46,-0.0334,40.17,0.88,2.22,84.62,76.55,1419,---
34_Nano_Scalp,ETH,-21.14,-0.034,41.21,0.86,2.2,78.43,77.9,1371,---
38_Cloud_Momentum,LINK,4.27,0.0131,40.33,1.06,2.15,47.96,16.56,419,---
36_Ichi_Super_Combo,BNB,-7.27,-0.0165,34.7,0.96,2.14,67.05,38.57,977,---
31_Micro_Trend_A,BNB,-24.44,-0.0363,39.74,0.88,2.05,88.43,82.81,1555,---
49_PSAR_Flip_Ichi,BTC,-6.19,-0.0144,34.05,0.94,2.02,54.55,35.33,740,---
34_Nano_Scalp,BTC,-24.5,-0.0364,36.71,0.82,2.02,85.32,82.74,1354,---
47_Cloud_Break_Volume,BNB,6.43,0.0209,37.1,1.17,2.0,31.5,8.9,248,---
40_Keltner_Ichi_PSAR,BTC,-11.27,-0.0231,33.11,0.9,2.0,62.08,54.34,903,---
39_ADX_Power_Entry,BNB,-13.19,-0.0258,35.25,0.94,2.0,81.22,59.23,1180,---
35_Precision_Entry,LINK,-37.19,-0.0416,41.82,0.94,1.98,97.89,94.54,2341,---
47_Cloud_Break_Volume,BTC,4.79,0.0149,34.52,1.12,1.97,23.7,11.34,252,---
50_Ultimate_Alpha,ETH,-23.88,-0.036,34.8,0.93,1.97,90.09,83.16,1615,---
37_Triple_Trend_Filter,BNB,-22.51,-0.035,35.03,0.92,1.95,89.53,80.6,1550,---
32_Micro_Trend_B,LINK,-23.19,-0.0355,41.72,0.91,1.9,88.78,81.27,1546,---
46_EMA_Stack_Full,ETH,-14.54,-0.0275,33.96,0.92,1.9,75.02,64.41,1125,---
40_Keltner_Ichi_PSAR,BNB,-10.62,-0.0221,34.99,0.94,1.9,75.86,51.46,983,---
47_Cloud_Break_Volume,LINK,4.76,0.0147,37.87,1.09,1.84,37.95,4.96,301,---
41_Momentum_Burst_Pro,BTC,-8.96,-0.0195,34.7,0.92,1.81,50.83,46.39,853,---
34_Nano_Scalp,BNB,-22.24,-0.0348,39.31,0.85,1.8,82.55,79.27,1328,---
44_PSAR_Volume_Surge,BNB,0.18,0.0005,36.41,1.0,1.78,32.73,16.78,401,---
39_ADX_Power_Entry,BTC,-15.87,-0.029,33.11,0.89,1.77,75.32,67.2,1063,---
48_Supertrend_Flip_Pro,ETH,-13.5,-0.0262,33.71,0.93,1.74,75.88,61.04,1062,---
45_DI_Crossover_Pro,BTC,-6.94,-0.0159,33.0,0.94,1.73,61.33,38.65,706,---
46_EMA_Stack_Full,BNB,-15.28,-0.0283,34.65,0.91,1.71,78.79,64.97,1117,---
35_Precision_Entry,BTC,-37.2,-0.0416,34.17,0.82,1.68,95.38,94.68,1984,---
33_Micro_Trend_C,ETH,-26.61,-0.0376,38.54,0.83,1.59,86.09,85.86,1440,---
38_Cloud_Momentum,BTC,-1.81,-0.0047,32.02,0.96,1.58,31.7,11.35,356,---
50_Ultimate_Alpha,SOL,-30.61,-0.0426,37.69,0.9,1.55,87.81,87.1,1698,---
32_Micro_Trend_B,BNB,-26.69,-0.0376,37.24,0.86,1.53,88.19,85.81,1469,---
37_Triple_Trend_Filter,ETH,-28.76,-0.0387,34.1,0.89,1.53,92.18,88.9,1610,---
39_ADX_Power_Entry,ETH,-19.83,-0.0329,34.09,0.9,1.53,84.89,76.09,1197,---
35_Precision_Entry,ETH,-41.47,-0.0425,37.51,0.89,1.51,97.18,96.43,2234,---
37_Triple_Trend_Filter,BTC,-25.84,-0.0372,31.65,0.86,1.5,87.67,85.02,1403,---
45_DI_Crossover_Pro,SOL,-10.95,-0.0233,36.88,0.94,1.43,59.71,54.4,827,---
31_Micro_Trend_A,ETH,-31.63,-0.0399,38.81,0.84,1.42,91.87,90.9,1636,---
48_Supertrend_Flip_Pro,BTC,-16.33,-0.0295,32.8,0.88,1.31,75.86,68.3,930,---
41_Momentum_Burst_Pro,SOL,-20.35,-0.0352,36.2,0.92,1.3,74.94,72.77,1116,---
37_Triple_Trend_Filter,SOL,-35.29,-0.0446,37.45,0.85,1.26,91.49,91.49,1709,---
34_Nano_Scalp,SOL,-23.61,-0.0381,43.84,0.84,1.25,78.66,78.66,1161,---
35_Precision_Entry,SOL,-44.04,-0.047,41.54,0.86,1.23,96.82,96.35,2116,---
39_ADX_Power_Entry,SOL,-25.3,-0.0393,37.74,0.9,1.22,84.06,81.2,1240,---
32_Micro_Trend_B,SOL,-29.67,-0.0421,41.18,0.88,1.2,90.21,87.03,1418,---
32_Micro_Trend_B,BTC,-29.12,-0.0389,32.75,0.81,1.16,89.84,88.66,1383,---
31_Micro_Trend_A,BTC,-32.06,-0.0401,35.1,0.77,1.06,91.76,91.27,1487,---
