Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
1,Breakout_Retest_Pro,BNBUSDT,1h,10000,17267.56,7267.56,72.68,72.68,72.68,134,31,103,23.13,1.27,3.88,0.52,36.77,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
2,Volume_Stochastic_MACD_ADX,BNBUSDT,4h,10000,16699.39,6699.39,66.99,66.99,66.99,28,9,19,32.14,1.96,7.49,2.22,17.32,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
3,Supertrend_BB_Entry,BNBUSDT,1h,10000,16192.67,6192.67,61.93,61.93,61.93,70,17,53,24.29,1.5,4.35,0.83,24.42,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
4,Breakout_Momentum,BNBUSDT,4h,10000,15916.42,5916.42,59.16,59.16,59.16,44,12,32,27.27,1.43,7.0,1.36,32.15,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
5,Bollinger_Break_Upper,BNBUSDT,4h,10000,15887.81,5887.81,58.88,58.88,58.88,51,14,37,27.45,1.46,5.62,1.12,24.33,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
6,MACD_Divergence,BNBUSDT,4h,10000,15682.86,5682.86,56.83,56.83,56.83,143,34,109,23.78,1.21,3.8,0.42,32.66,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
7,Breakout_Momentum,BNBUSDT,4h,10000,15539.68,5539.68,55.4,55.4,55.4,45,12,33,26.67,1.41,6.95,1.27,32.15,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
8,RSI_BB_MACD_Stochastic,BNBUSDT,1h,10000,15537.82,5537.82,55.38,55.38,55.38,100,23,77,23.0,1.35,3.76,0.55,28.62,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
9,Breakout_Confirmation,BNBUSDT,4h,10000,15326.34,5326.34,53.26,53.26,53.26,53,13,40,24.53,1.31,6.9,1.08,37.72,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
10,RSI_Stochastic_Pro,BNBUSDT,1h,10000,15171.79,5171.79,51.72,51.72,51.72,110,25,85,22.73,1.35,3.22,0.47,22.49,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",1h
11,Breakout_Hunter,BNBUSDT,4h,10000,15123.5,5123.5,51.23,51.23,51.23,52,14,38,26.92,1.34,6.22,1.04,30.92,B+,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
12,Bollinger_Bounce,BNBUSDT,1h,10000,14988.61,4988.61,49.89,49.89,49.89,267,50,217,18.73,1.16,2.63,0.21,34.31,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.005, TP:0.05, TS:0.005",1h
13,Stochastic_Reversal,BNBUSDT,1h,10000,14988.61,4988.61,49.89,49.89,49.89,267,50,217,18.73,1.16,2.63,0.21,34.31,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.005, TP:0.05, TS:0.005",1h
14,ADX_Stochastic_VWAP,BNBUSDT,1h,10000,14917.31,4917.31,49.17,49.17,49.17,92,21,71,22.83,1.22,4.91,0.59,40.13,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
15,Aggressive_Entry,BNBUSDT,1h,10000,14324.0,4324.0,43.24,43.24,43.24,82,19,63,23.17,1.2,5.42,0.62,36.5,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
16,Breakout_Volume_Pro,BNBUSDT,1h,10000,14322.68,4322.68,43.23,43.23,43.23,83,20,63,24.1,1.18,5.57,0.62,40.44,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
17,EMA_Breakout_Pro,BNBUSDT,1h,10000,14322.68,4322.68,43.23,43.23,43.23,83,20,63,24.1,1.18,5.57,0.62,40.44,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
18,ADX_Stochastic_BB,BNBUSDT,1h,10000,14189.58,4189.58,41.9,41.9,41.9,146,31,115,21.23,1.16,3.72,0.34,42.19,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
19,ADX_BB_MACD,BNBUSDT,1h,10000,13979.14,3979.14,39.79,39.79,39.79,123,27,96,21.95,1.15,4.29,0.39,47.52,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
20,MACD_VWAP_Supertrend,BNBUSDT,1h,10000,13938.77,3938.77,39.39,39.39,39.39,106,23,83,21.7,1.16,4.81,0.46,41.07,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
21,Trend_Acceleration,BNBUSDT,1h,10000,13915.6,3915.6,39.16,39.16,39.16,81,19,62,23.46,1.18,5.42,0.58,40.75,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
22,Breakout_Retest_Pro,BNBUSDT,4h,10000,13741.73,3741.73,37.42,37.42,37.42,68,18,50,26.47,1.29,4.49,0.61,23.08,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
23,Volume_Profile,BNBUSDT,1h,10000,13696.1,3696.1,36.96,36.96,36.96,108,23,85,21.3,1.15,4.77,0.43,41.68,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
24,VWAP_Break_Through,BNBUSDT,1h,10000,13696.1,3696.1,36.96,36.96,36.96,108,23,85,21.3,1.15,4.77,0.43,41.68,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
25,Quick_Profit,BNBUSDT,1h,10000,13695.21,3695.21,36.95,36.95,36.95,303,72,231,23.76,1.12,2.17,0.15,32.34,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.005, TP:0.035, TS:0.005",1h
26,Supertrend_Volume_ADX,BNBUSDT,1h,10000,13574.28,3574.28,35.74,35.74,35.74,85,19,66,22.35,1.16,5.39,0.53,39.08,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
27,Breakout_Thermo,BNBUSDT,1h,10000,13513.67,3513.67,35.14,35.14,35.14,78,18,60,23.08,1.18,5.41,0.56,38.46,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
28,RSI_Stochastic_ADX,BNBUSDT,1h,10000,13459.61,3459.61,34.6,34.6,34.6,124,26,98,20.97,1.14,4.19,0.35,42.59,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
29,EMA_Break_Momentum,BNBUSDT,1h,10000,13382.8,3382.8,33.83,33.83,33.83,80,17,63,21.25,1.17,5.33,0.53,43.17,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
30,Trend_All_Confirm,BNBUSDT,1h,10000,13343.17,3343.17,33.43,33.43,33.43,81,17,64,20.99,1.17,5.31,0.52,41.05,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
31,Breakout_Thermo,BNBUSDT,4h,10000,13326.27,3326.27,33.26,33.26,33.26,55,14,41,25.45,1.21,6.09,0.74,33.63,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
32,High_Profit_Trade,BNBUSDT,1h,10000,13292.69,3292.69,32.93,32.93,32.93,36,8,28,22.22,1.25,7.87,1.13,40.42,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.025, TP:0.15, TS:0.025",1h
33,ADX_Volume_Break,BNBUSDT,4h,10000,13287.34,3287.34,32.87,32.87,32.87,52,12,40,23.08,1.22,6.79,0.8,36.3,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
34,EMA_Breakout_ADX,BNBUSDT,4h,10000,13287.34,3287.34,32.87,32.87,32.87,52,12,40,23.08,1.22,6.79,0.8,36.3,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
35,Breakout_Hunter,BNBUSDT,1h,10000,13209.94,3209.94,32.1,32.1,32.1,85,19,66,22.35,1.15,5.37,0.5,37.92,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
36,MACD_Histogram_Trade,BNBUSDT,1h,10000,13183.77,3183.77,31.84,31.84,31.84,187,38,149,20.32,1.09,3.72,0.24,45.06,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
37,Breakout_Stochastic,BNBUSDT,1h,10000,13176.48,3176.48,31.76,31.76,31.76,88,20,68,22.73,1.12,5.48,0.49,49.11,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
38,Breakout_Volume_ADX,BNBUSDT,4h,10000,13148.67,3148.67,31.49,31.49,31.49,51,13,38,25.49,1.18,7.23,0.82,40.83,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
39,Volume_EMA_Stochastic_ADX,BNBUSDT,4h,10000,13141.64,3141.64,31.42,31.42,31.42,48,12,36,25.0,1.27,6.01,0.79,26.97,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
40,Volume_MACD_ADX,BNBUSDT,1h,10000,13090.88,3090.88,30.91,30.91,30.91,87,19,68,21.84,1.14,5.33,0.48,41.79,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
41,MACD_Breakout,BNBUSDT,4h,10000,13080.99,3080.99,30.81,30.81,30.81,47,11,36,23.4,1.25,6.68,0.82,29.54,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
42,Trend_Pullback_Entry,BNBUSDT,4h,10000,13048.27,3048.27,30.48,30.48,30.48,141,34,107,24.11,1.12,3.87,0.29,36.68,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
43,Multi_Indicator,BNBUSDT,1h,10000,12956.69,2956.69,29.57,29.57,29.57,107,23,84,21.5,1.11,4.83,0.38,45.38,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
44,EMA_RSI_MACD_ADX,BNBUSDT,1h,10000,12956.69,2956.69,29.57,29.57,29.57,107,23,84,21.5,1.11,4.83,0.38,45.38,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
45,Trend_Pullback_Entry,BNBUSDT,15m,10000,12936.0,2936.0,29.36,29.36,29.36,136,25,111,18.38,1.12,5.03,0.34,50.22,B,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
