Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
1,Supertrend_BB_Entry,BTCUSDT,4h,10000,13823.22,3823.22,38.23,3823.22,3823.22,21,7,14,33.33,2.35,5.0,1.77,9.88,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
2,ADX_Stochastic_VWAP,BTCUSDT,4h,10000,13313.57,3313.57,33.14,3313.57,3313.57,43,11,32,25.58,1.42,5.07,0.84,18.38,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
3,RSI_BB_MACD_Stochastic,BTCUSDT,4h,10000,12961.64,2961.64,29.62,2961.64,2961.64,40,11,29,27.5,1.48,4.46,0.8,12.69,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
4,Breakout_Pullback,BTCUSDT,4h,10000,12698.87,2698.87,26.99,2698.87,2698.87,73,16,57,21.92,1.24,4.06,0.44,22.47,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
5,Volume_Breakout_Pro,BTCUSDT,4h,10000,12666.87,2666.87,26.67,2666.87,2666.87,69,16,53,23.19,1.23,4.66,0.48,15.59,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
6,RSI_Stochastic_VWAP_ADX,BTCUSDT,4h,10000,12650.77,2650.77,26.51,2650.77,2650.77,28,8,20,28.57,1.54,5.31,1.04,9.94,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
7,RSI_Recovery,BTCUSDT,4h,10000,12612.84,2612.84,26.13,2612.84,2612.84,119,26,93,21.85,1.14,3.59,0.28,26.96,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
8,RSI_Confirmation,BTCUSDT,4h,10000,12578.57,2578.57,25.79,2578.57,2578.57,66,16,50,24.24,1.26,3.84,0.45,13.21,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
9,Double_Bottom_Formation,BTCUSDT,4h,10000,12578.57,2578.57,25.79,2578.57,2578.57,66,16,50,24.24,1.26,3.84,0.45,13.21,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
10,Oversold_Recovery,BTCUSDT,4h,10000,12578.57,2578.57,25.79,2578.57,2578.57,66,16,50,24.24,1.26,3.84,0.45,13.21,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
11,BB_Stochastic_Trade,BTCUSDT,4h,10000,12578.57,2578.57,25.79,2578.57,2578.57,66,16,50,24.24,1.26,3.84,0.45,13.21,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
12,Mean_Reversion_Pro,BTCUSDT,4h,10000,12578.57,2578.57,25.79,2578.57,2578.57,66,16,50,24.24,1.26,3.84,0.45,13.21,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
13,RSI_Stochastic_Pro,BTCUSDT,4h,10000,12342.6,2342.6,23.43,2342.6,2342.6,41,11,30,26.83,1.4,3.97,0.63,12.69,B,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
