Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
1,RSI_Divergence_Pro,LTCUSDT,4h,10000,13556.05,3556.05,35.56,35.56,35.56,80,39,41,48.75,1.42,3.13,0.47,14.71,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
2,RSI_BB_Combo,LTCUSDT,4h,10000,13556.05,3556.05,35.56,35.56,35.56,80,39,41,48.75,1.42,3.13,0.47,14.71,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
3,RSI_Bullish_Divergence,LTCUSDT,4h,10000,13556.05,3556.05,35.56,35.56,35.56,80,39,41,48.75,1.42,3.13,0.47,14.71,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
4,Breakout_Retest_Pro,LTCUSDT,4h,10000,13394.14,3394.14,33.94,33.94,33.94,55,28,27,50.91,1.64,3.19,0.63,13.3,A,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
5,BB_Stochastic_Pro,LTCUSDT,4h,10000,13242.78,3242.78,32.43,32.43,32.43,76,35,41,46.05,1.4,3.25,0.46,16.32,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
6,Bollinger_Squeeze_Entry,LTCUSDT,4h,10000,12475.79,2475.79,24.76,24.76,24.76,74,32,42,43.24,1.29,3.32,0.39,19.68,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
7,BB_MACD_Trade,LTCUSDT,4h,10000,12475.79,2475.79,24.76,24.76,24.76,74,32,42,43.24,1.29,3.32,0.39,19.68,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
8,ADX_BB_MACD,LTCUSDT,1h,10000,12378.09,2378.09,23.78,23.78,23.78,39,17,22,43.59,1.88,2.88,0.64,5.78,B+,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
9,Dual_Stochastic,LTCUSDT,4h,10000,12160.47,2160.47,21.6,21.6,21.6,75,36,39,48.0,1.29,3.03,0.34,13.8,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
10,RSI_Stochastic_ADX,LTCUSDT,1h,10000,11677.95,1677.95,16.78,16.78,16.78,37,16,21,43.24,1.55,2.8,0.5,7.74,B,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
11,MACD_VWAP_Breakout,LTCUSDT,4h,10000,11455.29,1455.29,14.55,14.55,14.55,11,5,6,45.45,2.12,4.27,1.41,3.68,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
12,Breakout_VWAP,LTCUSDT,4h,10000,11455.29,1455.29,14.55,14.55,14.55,11,5,6,45.45,2.12,4.27,1.41,3.68,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
13,BB_Stochastic_MACD_ADX,LTCUSDT,1h,10000,11368.22,1368.22,13.68,13.68,13.68,35,14,21,40.0,1.38,3.51,0.46,7.82,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
14,Quick_Profit,LTCUSDT,4h,10000,11137.92,1137.92,11.38,11.38,11.38,69,30,39,43.48,1.18,2.67,0.22,10.53,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.005, TP:0.035, TS:0.005",4h
15,Bollinger_Bounce,LTCUSDT,4h,10000,11057.49,1057.49,10.57,10.57,10.57,69,30,39,43.48,1.17,2.79,0.21,11.56,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.005, TP:0.05, TS:0.005",4h
16,Stochastic_Reversal,LTCUSDT,4h,10000,11057.49,1057.49,10.57,10.57,10.57,69,30,39,43.48,1.17,2.79,0.21,11.56,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.005, TP:0.05, TS:0.005",4h
17,Supertrend_BB_Entry,LTCUSDT,4h,10000,11021.04,1021.04,10.21,10.21,10.21,14,8,6,57.14,2.11,2.81,0.79,5.72,B+,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
18,RSI_Stochastic_ADX,LTCUSDT,4h,10000,10848.49,848.49,8.48,8.48,8.48,53,23,30,43.4,1.17,3.1,0.23,16.78,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
19,Volatility_Expansion,LTCUSDT,1h,10000,10836.27,836.27,8.36,8.36,8.36,38,15,23,39.47,1.25,2.99,0.28,11.09,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
20,Breakout_ADX_Pro,LTCUSDT,1h,10000,10720.79,720.79,7.21,7.21,7.21,9,5,4,55.56,1.85,3.21,0.88,6.01,B+,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
21,High_Momentum_Entry,LTCUSDT,1h,10000,10720.79,720.79,7.21,7.21,7.21,9,5,4,55.56,1.85,3.21,0.88,6.01,B+,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
22,BB_Recovery,LTCUSDT,4h,10000,10659.64,659.64,6.6,6.6,6.6,64,28,36,43.75,1.1,2.98,0.17,11.62,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
23,Breakout_Pullback,LTCUSDT,4h,10000,10635.15,635.15,6.35,6.35,6.35,54,25,29,46.3,1.11,3.09,0.18,12.48,B,Active,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
24,BB_MACD_Trade,LTCUSDT,1h,10000,10624.04,624.04,6.24,6.24,6.24,54,19,35,35.19,1.18,2.14,0.16,10.36,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
25,Bollinger_Squeeze_Entry,LTCUSDT,1h,10000,10624.04,624.04,6.24,6.24,6.24,54,19,35,35.19,1.18,2.14,0.16,10.36,C,Active,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
26,Stochastic_Reversal,LTCUSDT,15m,10000,10521.54,521.54,5.22,5.22,5.22,34,14,20,41.18,1.71,0.81,0.18,1.39,D,Active,Historical_Parquet,10 days,2026-03-06,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.005, TP:0.05, TS:0.005",15m
