ticker,fast,slow,return
ETH-USD,30,50,10.831334953128081
BTC-USD,10,100,8.634299187945278
BTC-USD,20,100,6.06266240543652
BTC-USD,20,50,5.918269477159635
BTC-USD,10,50,5.882222464628284
ETH-USD,10,50,5.713716474306522
BTC-USD,30,50,5.67205993420331
BTC-USD,30,100,5.386565160447557
ETH-USD,10,100,3.8595822172582546
ETH-USD,30,100,3.745155136599576
ETH-USD,20,50,3.6099860206720735
ETH-USD,20,100,2.9028812202784593
MSFT,20,100,1.399913019080181
MSFT,30,100,1.171896147203951
MSFT,30,50,1.1659665691959742
AAPL,20,50,1.1650073347784786
AAPL,30,100,1.1106256889286552
MSFT,10,100,1.055996004959774
MSFT,10,50,0.9656353907114075
MSFT,20,50,0.925762463699583
AAPL,10,100,0.8548856676950085
AAPL,20,100,0.8217904149631633
AAPL,10,50,0.7218766139205101
AAPL,30,50,0.6729796966527068
