Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,CAGR_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Win_Rate_Adjusted,Profit_Factor,Sharpe_Ratio,Avg_Win_USD,Avg_Loss_USD,Win_Loss_Ratio,Trades_Per_Year,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,WR_Flag,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
Supertrend_CCI,ETH,4h,0.0,0.0,0.0,6431.0,1.1508,82.95,82.95,8.66,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,-2.66,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,1,10000,0.0,,,,0.06%,900,tv_apr4
Triple_Confirm,BTC,4h,0.0,0.0,0.0,3826.0,1.0099,84.01,84.01,8.84,0.0,0.0,0.0,0.0,148.8,0.0,0.0,0.0,-2.46,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,2,10000,0.0,,,,0.06%,744,tv_apr4
EMA_Ribbon,LDO,1h,0.0,0.0,0.0,3410.0,0.9789,97.83,97.83,9.79,0.0,0.0,0.0,0.0,148.2,0.0,0.0,0.0,-7.72,0.0,0.0,0.0,0.0,HIGH_WR,EXCEPTIONAL,TIER_1_DEPLOY,3,10000,0.0,,,,0.06%,741,tv_apr4
Supertrend_CCI,LDO,4h,0.0,0.0,0.0,3301.0,0.9702,83.49,83.49,8.66,0.0,0.0,0.0,0.0,120.8,0.0,0.0,0.0,-3.06,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,4,10000,0.0,,,,0.06%,604,tv_apr4
CCI_Donchian_Fusion,BTC,4h,0.0,0.0,0.0,3277.0,0.9683,80.84,80.84,8.84,0.0,0.0,0.0,0.0,120.8,0.0,0.0,0.0,-2.46,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,5,10000,0.0,,,,0.06%,604,tv_apr4
Triple_Confirm,LDO,4h,0.0,0.0,0.0,3122.0,0.9553,83.52,83.52,9.05,0.0,0.0,0.0,0.0,148.8,0.0,0.0,0.0,-3.53,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,6,10000,0.0,,,,0.06%,744,tv_apr4
EMA_Ribbon,ETH,1h,0.0,0.0,0.0,3066.0,0.9504,83.45,83.45,3.88,0.0,0.0,0.0,0.0,431.8,0.0,0.0,0.0,-9.05,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,7,10000,0.0,,,,0.06%,2159,tv_apr4
CCI_Donchian_Fusion,ETH,1h,0.0,0.0,0.0,2480.0,0.8939,84.25,84.25,5.55,0.0,0.0,0.0,0.0,204.4,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,8,10000,0.0,,,,0.06%,1022,tv_apr4
CCI_Donchian_Fusion,LDO,4h,0.0,0.0,0.0,2104.0,0.8504,83.91,83.91,9.17,0.0,0.0,0.0,0.0,120.8,0.0,0.0,0.0,-6.27,0.0,0.0,0.0,0.0,HIGH_WR,PROMISING,TIER_2,9,10000,0.0,,,,0.06%,604,tv_apr4
Supertrend_CCI,SUI,4h,0.0,0.0,0.0,1793.0,0.8084,82.78,82.78,7.69,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,-4.24,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,10,10000,0.0,,,,0.06%,270,tv_apr4
Triple_Confirm,SUI,4h,0.0,0.0,0.0,1703.0,0.7949,83.72,83.72,9.05,0.0,0.0,0.0,0.0,148.8,0.0,0.0,0.0,-2.73,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,11,10000,0.0,,,,0.06%,744,tv_apr4
CCI_Donchian_Fusion,SUI,4h,0.0,0.0,0.0,1703.0,0.7949,83.72,83.72,12.05,0.0,0.0,0.0,0.0,45.2,0.0,0.0,0.0,-1.11,0.0,0.0,0.0,0.0,HIGH_WR,STRONG,TIER_1,12,10000,0.0,,,,0.06%,226,tv_apr4
