Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
1,Conservative_Entry,XRPUSDT,1h,10000,14153.17,4153.17,41.53,41.53,41.53,58,17,41,29.31,1.59,3.32,0.7,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.05, TS:0.008",1h
2,MACD_Breakout,XRPUSDT,1h,10000,12674.22,2674.22,26.74,26.74,26.74,13,4,9,30.77,2.06,7.27,2.19,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
3,VWAP_Break_Entry,XRPUSDT,1h,10000,12342.06,2342.06,23.42,23.42,23.42,21,6,15,28.57,1.57,5.87,1.24,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
4,Moderate_Strategy,XRPUSDT,1h,10000,12325.98,2325.98,23.26,23.26,23.26,41,10,31,24.39,1.39,4.34,0.64,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.07, TS:0.012",1h
5,Swing_Trade,XRPUSDT,1h,10000,12189.45,2189.45,21.89,21.89,21.89,33,9,24,27.27,1.37,4.86,0.76,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.08, TS:0.015",1h
6,RSI_Trend_ADX,XRPUSDT,4h,10000,12129.49,2129.49,21.29,21.29,21.29,67,14,53,20.9,1.19,5.13,0.44,B,Active,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
7,MACD_Supertrend_ADX,XRPUSDT,1h,10000,12091.72,2091.72,20.92,20.92,20.92,26,7,19,26.92,1.41,5.46,0.93,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
8,MACD_Trend_Follow,XRPUSDT,1h,10000,12091.72,2091.72,20.92,20.92,20.92,26,7,19,26.92,1.41,5.46,0.93,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
9,MACD_ADX_Combo,XRPUSDT,1h,10000,12091.72,2091.72,20.92,20.92,20.92,26,7,19,26.92,1.41,5.46,0.93,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
10,Multi_Timeframe_Entry,XRPUSDT,1h,10000,12091.72,2091.72,20.92,20.92,20.92,26,7,19,26.92,1.41,5.46,0.93,B,Active,Historical_Parquet,365 days,1770220800,1773817200,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
